model	file	prompt_tokens	completion_tokens	finish	reasoning_chars	content_chars	context_boundary	wall_ms	tool_call	http_status	outcome
qwen38-4b-distill	sys/arch/rp2040/dev/flash_swap.c	1223	312	stop	599	976	no	2659	yes	200	stop
qwen38-4b-distill	bin/cat/cat.c	2051	401	stop	610	1078	no	3496	yes	200	stop
qwen38-4b-distill	sys/arch/rp2040/dev/usb.c	8760	608	stop	588	1779	no	6288	yes	200	stop
qwen38-2b-distill	sys/arch/rp2040/dev/flash_swap.c	1223	738	stop	741	2524	no	3122	no	200	stop
qwen38-2b-distill	bin/cat/cat.c	2051	1123	stop	390	4197	no	4758	no	200	stop
qwen38-2b-distill	sys/arch/rp2040/dev/usb.c	8760	2048	length	415	6124	no	9263	no	200	capped
qwen35-4b-base	sys/arch/rp2040/dev/flash_swap.c	1223	2048	length	2073	6835	no	16660	yes	200	capped
qwen35-4b-base	bin/cat/cat.c	2051	2048	length	1913	6191	no	16950	yes	200	capped
qwen35-4b-base	sys/arch/rp2040/dev/usb.c	8760	701	stop	1753	838	no	7116	yes	200	stop
qwen38-9b-distill	sys/arch/rp2040/dev/flash_swap.c	1223	406	stop	1040	1040	no	5556	yes	200	stop
qwen38-9b-distill	bin/cat/cat.c	2051	425	stop	961	961	no	6051	yes	200	stop
qwen38-9b-distill	sys/arch/rp2040/dev/usb.c	8760	441	stop	900	902	no	7731	yes	200	stop
qwen38-4b-i1-q2k	sys/arch/rp2040/dev/flash_swap.c	1223	132	stop	323	280	no	1150	yes	200	stop
qwen38-4b-i1-q2k	bin/cat/cat.c	2051	445	stop	1137	856	no	3154	yes	200	stop
qwen38-4b-i1-q2k	sys/arch/rp2040/dev/usb.c	8760	285	stop	601	698	no	3310	yes	200	stop
qwen38-4b-i1-q5km	sys/arch/rp2040/dev/flash_swap.c	1223	343	stop	520	968	no	3159	yes	200	stop
qwen38-4b-i1-q5km	bin/cat/cat.c	2051	553	stop	983	1320	no	5130	yes	200	stop
qwen38-4b-i1-q5km	sys/arch/rp2040/dev/usb.c	8760	454	stop	636	1100	no	5354	yes	200	stop
qwen38-4b-i1-q6k	sys/arch/rp2040/dev/flash_swap.c	1223	314	stop	489	1178	no	3212	yes	200	stop
qwen38-4b-i1-q6k	bin/cat/cat.c	2051	396	stop	539	1163	no	4133	yes	200	stop
qwen38-4b-i1-q6k	sys/arch/rp2040/dev/usb.c	8760	465	stop	659	1155	no	5962	yes	200	stop
qwen35-08b	sys/arch/rp2040/dev/flash_swap.c	1223	2048	length	1869	5742	no	6367	yes	200	capped
qwen35-08b	bin/cat/cat.c	2051	2048	length	1819	4279	no	6475	yes	200	capped
qwen35-08b	sys/arch/rp2040/dev/usb.c	8760	2048	length	1806	5349	no	7076	yes	200	capped
qwen35-2b	sys/arch/rp2040/dev/flash_swap.c	1223	760	stop	1895	1382	no	3338	yes	200	stop
qwen35-2b	bin/cat/cat.c	2051	2048	length	1776	6707	no	8898	yes	200	capped
qwen35-2b	sys/arch/rp2040/dev/usb.c	8760	982	stop	1938	2119	no	4869	yes	200	stop
lfm25-vl-16b	sys/arch/rp2040/dev/flash_swap.c	1350	195	stop	0	821	no	501	yes	200	stop
lfm25-vl-16b	bin/cat/cat.c	2052	2048	length	0	11169	no	4611	yes	200	capped
lfm25-vl-16b	sys/arch/rp2040/dev/usb.c	9354	2048	length	0	8475	no	5119	yes	200	capped
qwen35-08b-f16	sys/arch/rp2040/dev/flash_swap.c	1223	744	stop	1959	1228	no	3397	yes	200	stop
qwen35-08b-f16	bin/cat/cat.c	2051	2048	length	1905	6005	no	9302	yes	200	capped
qwen35-08b-f16	sys/arch/rp2040/dev/usb.c	8760	879	stop	1777	1486	no	4424	yes	200	stop
qwen38-2b-uncensored	sys/arch/rp2040/dev/flash_swap.c	1223	1427	stop	370	4799	no	5956	no	200	stop
qwen38-2b-uncensored	bin/cat/cat.c	2051	2048	length	402	6899	no	8574	no	200	capped
qwen38-2b-uncensored	sys/arch/rp2040/dev/usb.c	8760	2048	length	380	6196	no	9279	no	200	capped
