level	repeat	request	prompt_n	predicted_n	prompt_ms	predicted_ms	window_s
7	1	0	468	128	105.607	1020.003	1.139192
7	1	1	468	128	106.383	1019.577	1.139192
7	1	2	468	128	105.856	1019.880	1.139192
7	1	3	468	128	87.529	938.481	1.139192
7	1	4	468	128	106.122	1019.729	1.139192
7	1	5	468	128	87.269	938.628	1.139192
7	1	6	468	128	87.018	938.764	1.139192
7	2	0	468	128	82.538	944.577	1.156685
7	2	1	468	128	81.879	945.127	1.156685
7	2	2	468	128	122.500	1020.643	1.156685
7	2	3	468	128	122.217	1020.801	1.156685
7	2	4	468	128	121.960	1020.922	1.156685
7	2	5	468	128	204.294	945.260	1.156685
7	2	6	468	128	122.788	1020.484	1.156685
7	3	0	468	128	122.341	1013.875	1.149788
7	3	1	468	128	81.035	939.011	1.149788
7	3	2	468	128	122.096	1013.990	1.149788
7	3	3	468	128	122.855	1013.590	1.149788
7	3	4	468	128	122.594	1013.734	1.149788
7	3	5	468	128	81.288	938.877	1.149788
7	3	6	468	128	203.601	939.113	1.149788
7	4	0	468	128	122.893	1012.311	1.148425
7	4	1	468	128	81.256	937.494	1.148425
7	4	2	468	128	122.373	1012.574	1.148425
7	4	3	468	128	122.132	1012.689	1.148425
7	4	4	468	128	122.632	1012.425	1.148425
7	4	5	468	128	203.855	937.677	1.148425
7	4	6	468	128	81.535	937.326	1.148425
8	1	0	468	128	122.447	1146.778	1.284050
8	1	1	468	128	122.171	1146.939	1.284050
8	1	2	468	128	122.712	1146.627	1.284050
8	1	3	468	128	240.567	1035.541	1.284050
8	1	4	468	128	121.911	1147.058	1.284050
8	1	5	468	128	120.039	1033.858	1.284050
8	1	6	468	128	119.392	1034.373	1.284050
8	1	7	468	128	118.667	1034.984	1.284050
8	2	0	468	128	122.869	1139.396	1.276865
8	2	1	468	128	122.006	1139.908	1.276865
8	2	2	468	128	122.277	1139.764	1.276865
8	2	3	468	128	115.152	1031.418	1.276865
8	2	4	468	128	236.780	1032.224	1.276865
8	2	5	468	128	114.286	1032.086	1.276865
8	2	6	468	128	122.570	1139.588	1.276865
8	2	7	468	128	114.541	1031.929	1.276865
8	3	0	468	128	122.535	1150.813	1.289046
8	3	1	468	128	122.739	1150.697	1.289046
8	3	2	468	128	122.952	1150.586	1.289046
8	3	3	468	128	114.388	1042.858	1.289046
8	3	4	468	128	114.684	1042.670	1.289046
8	3	5	468	128	123.162	1150.474	1.289046
8	3	6	468	128	237.316	1043.015	1.289046
8	3	7	468	128	114.943	1042.535	1.289046
8	4	0	468	128	235.756	1038.343	1.281415
8	4	1	468	128	122.920	1144.455	1.281415
8	4	2	468	128	122.122	1144.894	1.281415
8	4	3	468	128	122.379	1144.770	1.281415
8	4	4	468	128	113.481	1037.937	1.281415
8	4	5	468	128	122.658	1144.608	1.281415
8	4	6	468	128	113.746	1037.794	1.281415
8	4	7	468	128	113.213	1038.087	1.281415
9	1	0	468	128	252.727	1128.224	1.394195
9	1	1	468	128	130.279	1128.125	1.394195
9	1	2	468	128	122.831	1250.697	1.394195
9	1	3	468	128	122.577	1250.797	1.394195
9	1	4	468	128	121.997	1251.114	1.394195
9	1	5	468	128	122.288	1250.966	1.394195
9	1	6	468	128	130.535	1127.997	1.394195
9	1	7	468	128	153.249	1110.505	1.394195
9	1	8	468	128	130.803	1127.846	1.394195
9	2	0	468	128	121.997	1248.672	1.392093
9	2	1	468	128	130.468	1125.397	1.392093
9	2	2	468	128	122.780	1248.282	1.392093
9	2	3	468	128	122.519	1248.429	1.392093
9	2	4	468	128	122.249	1248.570	1.392093
9	2	5	468	128	130.719	1125.271	1.392093
9	2	6	468	128	152.698	1108.838	1.392093
9	2	7	468	128	252.871	1125.524	1.392093
9	2	8	468	128	130.973	1125.137	1.392093
9	3	0	468	128	122.540	1251.700	1.395305
9	3	1	468	128	252.965	1128.617	1.395305
9	3	2	468	128	122.268	1251.867	1.395305
9	3	3	468	128	122.059	1251.998	1.395305
9	3	4	468	128	121.856	1252.113	1.395305
9	3	5	468	128	130.831	1128.457	1.395305
9	3	6	468	128	131.058	1128.318	1.395305
9	3	7	468	128	153.103	1111.566	1.395305
9	3	8	468	128	131.314	1128.180	1.395305
9	4	0	468	128	122.170	1250.267	1.393535
9	4	1	468	128	253.088	1127.028	1.393535
9	4	2	468	128	122.859	1249.898	1.393535
9	4	3	468	128	122.611	1250.034	1.393535
9	4	4	468	128	122.359	1250.160	1.393535
9	4	5	468	128	152.602	1110.281	1.393535
9	4	6	468	128	130.532	1126.881	1.393535
9	4	7	468	128	130.771	1126.794	1.393535
9	4	8	468	128	131.017	1126.680	1.393535
10	1	0	468	128	255.288	1225.221	1.495746
10	1	1	468	128	133.888	1223.480	1.495746
10	1	2	468	128	122.938	1349.437	1.495746
10	1	3	468	128	133.213	1224.040	1.495746
10	1	4	468	128	123.610	1348.889	1.495746
10	1	5	468	128	122.423	1349.688	1.495746
10	1	6	468	128	122.678	1349.573	1.495746
10	1	7	468	128	132.511	1224.631	1.495746
10	1	8	468	128	183.652	1179.436	1.495746
10	1	9	468	128	50.576	1178.885	1.495746
10	2	0	468	128	122.404	1346.491	1.491319
10	2	1	468	128	122.663	1346.354	1.491319
10	2	2	468	128	122.150	1346.608	1.491319
10	2	3	468	128	254.264	1222.869	1.491319
10	2	4	468	128	122.930	1346.237	1.491319
10	2	5	468	128	131.958	1221.862	1.491319
10	2	6	468	128	131.324	1222.341	1.491319
10	2	7	468	128	50.545	1176.779	1.491319
10	2	8	468	128	182.371	1177.352	1.491319
10	2	9	468	128	132.641	1221.316	1.491319
10	3	0	468	128	254.019	1223.410	1.492842
10	3	1	468	128	122.687	1346.652	1.492842
10	3	2	468	128	123.345	1346.119	1.492842
10	3	3	468	128	132.123	1222.337	1.492842
10	3	4	468	128	122.370	1346.841	1.492842
10	3	5	468	128	131.453	1222.879	1.492842
10	3	6	468	128	122.068	1347.004	1.492842
10	3	7	468	128	182.588	1177.754	1.492842
10	3	8	468	128	132.806	1221.783	1.492842
10	3	9	468	128	50.694	1177.091	1.492842
10	4	0	468	128	253.906	1225.216	1.494579
10	4	1	468	128	122.336	1348.527	1.494579
10	4	2	468	128	122.078	1348.657	1.494579
10	4	3	468	128	131.439	1224.653	1.494579
10	4	4	468	128	122.601	1348.394	1.494579
10	4	5	468	128	123.286	1347.859	1.494579
10	4	6	468	128	50.725	1178.803	1.494579
10	4	7	468	128	132.840	1223.522	1.494579
10	4	8	468	128	132.159	1224.053	1.494579
10	4	9	468	128	182.775	1179.350	1.494579
11	1	0	468	128	123.249	1430.315	1.577410
11	1	1	468	128	132.089	1306.928	1.577410
11	1	2	468	128	123.006	1430.454	1.577410
11	1	3	468	128	132.391	1306.746	1.577410
11	1	4	468	128	123.518	1430.211	1.577410
11	1	5	468	128	255.318	1307.104	1.577410
11	1	6	468	128	122.753	1430.571	1.577410
11	1	7	468	128	132.692	1306.557	1.577410
11	1	8	468	128	209.955	1235.402	1.577410
11	1	9	468	128	77.645	1235.272	1.577410
11	1	10	468	128	78.315	1234.721	1.577410
11	2	0	468	128	130.629	1348.352	1.575547
11	2	1	468	128	80.681	1469.754	1.575547
11	2	2	468	128	80.433	1469.875	1.575547
11	2	3	468	128	130.119	1348.600	1.575547
11	2	4	468	128	80.966	1469.588	1.575547
11	2	5	468	128	122.055	1233.332	1.575547
11	2	6	468	128	130.374	1348.476	1.575547
11	2	7	468	128	130.883	1348.219	1.575547
11	2	8	468	128	250.720	1235.058	1.575547
11	2	9	468	128	121.365	1233.908	1.575547
11	2	10	468	128	120.664	1234.480	1.575547
11	3	0	468	128	131.658	1304.292	1.574586
11	3	1	468	128	131.908	1304.150	1.574586
11	3	2	468	128	122.962	1426.931	1.574586
11	3	3	468	128	207.843	1234.402	1.574586
11	3	4	468	128	254.468	1304.580	1.574586
11	3	5	468	128	131.415	1304.423	1.574586
11	3	6	468	128	123.209	1426.834	1.574586
11	3	7	468	128	122.708	1427.035	1.574586
11	3	8	468	128	76.333	1234.256	1.574586
11	3	9	468	128	123.466	1426.712	1.574586
11	3	10	468	128	76.995	1233.710	1.574586
11	4	0	468	128	76.604	1234.055	1.575256
11	4	1	468	128	123.416	1427.441	1.575256
11	4	2	468	128	131.590	1304.378	1.575256
11	4	3	468	128	123.156	1427.563	1.575256
11	4	4	468	128	131.885	1304.214	1.575256
11	4	5	468	128	123.703	1427.285	1.575256
11	4	6	468	128	123.971	1427.141	1.575256
11	4	7	468	128	255.185	1304.579	1.575256
11	4	8	468	128	132.174	1304.052	1.575256
11	4	9	468	128	208.135	1234.314	1.575256
11	4	10	468	128	76.352	1234.182	1.575256
