level	arm	repeat	slot	prompt_n	predicted_n	prompt_ms	predicted_ms	window_s
1	control	1	0	4	128	12.476	546.966	0.560558
1	control	2	0	4	128	12.124	547.699	0.560881
1	control	3	0	4	128	12.851	547.225	0.561191
1	control	4	0	4	128	11.953	549.847	0.562873
3	control	1	0	4	128	21.812	682.970	0.706340
3	control	1	1	4	128	17.316	682.852	0.706340
3	control	1	2	4	128	12.819	682.701	0.706340
3	control	2	0	4	128	21.194	681.887	0.704674
3	control	2	1	4	128	16.739	681.784	0.704674
3	control	2	2	4	128	12.645	681.647	0.704674
3	control	3	0	4	128	21.131	682.306	0.705038
3	control	3	1	4	128	16.804	682.200	0.705038
3	control	3	2	4	128	12.662	682.070	0.705038
3	control	4	0	4	128	21.619	680.349	0.703619
3	control	4	1	4	128	17.171	680.248	0.703619
3	control	4	2	4	128	13.046	680.123	0.703619
4	control	1	0	4	128	27.034	740.551	0.769600
4	control	1	1	4	128	22.665	740.517	0.769600
4	control	1	2	4	128	18.583	740.410	0.769600
4	control	1	3	4	128	14.553	740.277	0.769600
4	control	2	0	4	128	26.168	752.085	0.780155
4	control	2	1	4	128	21.802	751.993	0.780155
4	control	2	2	4	128	17.725	751.874	0.780155
4	control	2	3	4	128	13.674	751.748	0.780155
4	control	3	0	4	128	27.773	743.399	0.773142
4	control	3	1	4	128	22.771	743.263	0.773142
4	control	3	2	4	128	18.410	743.104	0.773142
4	control	3	3	4	128	14.016	742.950	0.773142
4	control	4	0	4	128	26.225	745.086	0.773452
4	control	4	1	4	128	21.889	745.062	0.773452
4	control	4	2	4	128	17.769	744.953	0.773452
4	control	4	3	4	128	13.745	744.824	0.773452
