utc	clocks_sm_mhz	clocks_mem_mhz	temperature_c	power_draw_w	utilization_gpu_percent	utilization_memory_percent	memory_used_mib	memory_total_mib	throttle_reasons_active	bar1_total_mib	bar1_used_mib	bar1_free_mib	mem_available_kib	mlocked_kib	unevictable_kib	page_tables_kib	sunreclaim_kib	load_average_1m
2026-09-04T18:20:03Z	210	810	42	21.97	30	39	1346	12282	0x0000000000000001	16384	1361	15023	20113640	828	173600	161948	1616940	0.78
2026-09-04T18:20:04Z	2775	10251	44	26.26	34	8	2872	12282	0x0000000000000001	16384	2887	13497	19711968	828	173600	162796	1618260	0.78
2026-09-04T18:20:05Z	2835	10251	48	85.76	94	83	2878	12282	0x0000000000000000	16384	2893	13491	19682628	828	173600	162948	1618260	0.78
2026-09-04T18:20:06Z	2835	10251	54	118.50	94	83	2878	12282	0x0000000000000000	16384	2893	13491	19670532	828	173600	163088	1618260	0.78
2026-09-04T18:20:07Z	2850	10251	54	119.28	19	15	2878	12282	0x0000000000000000	16384	2893	13491	19675948	828	173600	162936	1618260	0.88
2026-09-04T18:20:08Z	2850	10251	54	122.85	2	2	2878	12282	0x0000000000000000	16384	2893	13491	19691496	828	173600	163336	1618260	0.88
2026-09-04T18:20:09Z	2850	10251	54	122.81	2	2	2878	12282	0x0000000000000000	16384	2893	13491	19687948	828	173600	163124	1618260	0.88
2026-09-04T18:20:10Z	2850	10251	45	104.92	16	3	2754	12282	0x0000000000000000	16384	2945	13439	19799044	828	173600	162772	1618060	0.88
2026-09-04T18:20:11Z	2835	10251	55	94.03	88	74	2964	12282	0x0000000000000000	16384	2979	13405	19582812	828	173600	163096	1618268	1.05
2026-09-04T18:20:12Z	2835	10251	46	146.59	2	2	2964	12282	0x0000000000000000	16384	2979	13405	19557820	828	173600	162952	1618268	1.05
2026-09-04T18:20:13Z	2835	10251	47	151.00	19	11	2964	12282	0x0000000000000000	16384	2979	13405	19496008	828	173600	163056	1618268	1.05
2026-09-04T18:20:14Z	2835	10251	50	129.70	89	72	2964	12282	0x0000000000000000	16384	2979	13405	19466756	828	173600	163164	1618332	1.05
2026-09-04T18:20:15Z	2835	10251	56	123.92	88	73	2964	12282	0x0000000000000000	16384	2979	13405	19437996	828	173600	163156	1618268	1.05
2026-09-04T18:20:16Z	2835	10251	56	132.23	2	2	2964	12282	0x0000000000000000	16384	2979	13405	19453724	828	173600	163016	1618268	1.05
2026-09-04T18:20:17Z	2835	10501	47	152.92	2	2	1548	12282	0x0000000000000000	16384	1563	14821	20045604	828	173600	162824	1618292	1.05
2026-09-04T18:20:18Z	2835	10251	47	80.23	2	3	3004	12282	0x0000000000000000	16384	3019	13365	19675616	828	173600	163472	1618268	1.05
2026-09-04T18:20:19Z	2835	10251	51	146.34	85	70	3010	12282	0x0000000000000000	16384	3025	13359	19609184	828	173600	163528	1618268	1.05
2026-09-04T18:20:20Z	2835	10251	57	129.05	86	71	3010	12282	0x0000000000000000	16384	3025	13359	19605904	828	173600	163880	1618268	1.05
2026-09-04T18:20:21Z	2835	10251	57	155.84	2	2	3010	12282	0x0000000000000000	16384	3025	13359	19572680	828	173600	163800	1618268	1.04
2026-09-04T18:20:22Z	2835	10251	47	171.12	28	18	3010	12282	0x0000000000000000	16384	3025	13359	19593272	828	173600	163416	1618268	1.04
2026-09-04T18:20:23Z	2835	10251	49	130.23	84	68	3010	12282	0x0000000000000000	16384	3025	13359	19611044	828	173600	163200	1618268	1.04
2026-09-04T18:20:24Z	2820	10251	57	143.90	86	69	3010	12282	0x0000000000000000	16384	3025	13359	19601256	828	173600	163464	1618268	1.04
