level	arm	repeat	slot	prompt_n	predicted_n	prompt_ms	predicted_ms	window_s
1	control	1	1	4	128	13.027	553.432	0.567598
1	control	2	1	4	128	12.406	553.315	0.566815
1	control	3	1	4	128	12.159	554.148	0.567377
1	control	4	1	4	128	12.931	554.404	0.568415
3	control	1	1	4	128	21.478	680.356	0.703516
3	control	1	2	4	128	16.960	680.258	0.703516
3	control	1	3	4	128	12.810	680.142	0.703516
3	control	2	1	4	128	21.895	682.264	0.705748
3	control	2	2	4	128	17.339	682.156	0.705748
3	control	2	3	4	128	13.152	682.045	0.705748
3	control	3	1	4	128	22.367	682.695	0.706606
3	control	3	2	4	128	17.733	682.557	0.706606
3	control	3	3	4	128	13.467	682.406	0.706606
3	control	4	1	4	128	21.875	674.432	0.697955
3	control	4	2	4	128	17.096	674.376	0.697955
3	control	4	3	4	128	12.946	674.245	0.697955
4	control	1	1	4	128	27.735	743.948	0.773728
4	control	1	2	4	128	22.031	743.926	0.773728
4	control	1	3	4	128	17.884	743.851	0.773728
4	control	1	4	4	128	13.818	743.750	0.773728
4	control	2	1	4	128	26.939	745.364	0.774184
4	control	2	2	4	128	22.445	745.229	0.774184
4	control	2	3	4	128	18.321	745.053	0.774184
4	control	2	4	4	128	14.253	744.872	0.774184
4	control	3	1	4	128	27.336	747.423	0.776652
4	control	3	2	4	128	22.491	747.300	0.776652
4	control	3	3	4	128	18.261	747.175	0.776652
4	control	3	4	4	128	14.049	747.046	0.776652
4	control	4	1	4	128	27.171	752.517	0.781760
4	control	4	2	4	128	22.410	752.425	0.781760
4	control	4	3	4	128	18.194	752.347	0.781760
4	control	4	4	4	128	14.107	752.200	0.781760
