monitor_start_utc=2026-09-20T21:38:49Z server_pid=3950021 sample_seconds=1 profile=default latency_watchdog_pid=0 kernel_hazard_watchdog_pid=3950811 guard_affinity=1 guard_nice=0
threshold_mem_available_kib=4194304 threshold_swapin_bytes_per_sample=67108864 swapin_headroom_mem_available_kib=6291456 report_temperature_millicelsius=90000
threshold_maximum_gpu_busy_percent=100 enforcement=terminate_on_sample_above_threshold
sample_utc=2026-09-20T21:38:50Z affinity=0-11 nice=0 rss_kib=585112 peak_rss_kib=3199828 mem_available_kib=8275240 swapin_bytes=454656 max_temp_millicelsius=78000 gpu_busy_percent=62 gtt_used_bytes=unavailable vram_used_bytes=5762973696 sclk=1005 mclk=5001
sample_utc=2026-09-20T21:38:51Z affinity=0-11 nice=0 rss_kib=656156 peak_rss_kib=3199828 mem_available_kib=8142644 swapin_bytes=495616 max_temp_millicelsius=78000 gpu_busy_percent=96 gtt_used_bytes=unavailable vram_used_bytes=5769265152 sclk=2835 mclk=10251
sample_utc=2026-09-20T21:38:52Z affinity=0-11 nice=0 rss_kib=658064 peak_rss_kib=3199828 mem_available_kib=8022152 swapin_bytes=176128 max_temp_millicelsius=78000 gpu_busy_percent=96 gtt_used_bytes=unavailable vram_used_bytes=5771362304 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:38:53Z affinity=0-11 nice=0 rss_kib=658064 peak_rss_kib=3199828 mem_available_kib=8032564 swapin_bytes=155648 max_temp_millicelsius=78000 gpu_busy_percent=96 gtt_used_bytes=unavailable vram_used_bytes=5771362304 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:38:54Z affinity=0-11 nice=0 rss_kib=658064 peak_rss_kib=3199828 mem_available_kib=8051792 swapin_bytes=225280 max_temp_millicelsius=78000 gpu_busy_percent=97 gtt_used_bytes=unavailable vram_used_bytes=5771362304 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:38:55Z affinity=0-11 nice=0 rss_kib=658064 peak_rss_kib=3199828 mem_available_kib=8040272 swapin_bytes=1343488 max_temp_millicelsius=78000 gpu_busy_percent=96 gtt_used_bytes=unavailable vram_used_bytes=5771362304 sclk=2805 mclk=10251
sample_utc=2026-09-20T21:38:56Z affinity=0-11 nice=0 rss_kib=658064 peak_rss_kib=3199828 mem_available_kib=8049324 swapin_bytes=225280 max_temp_millicelsius=78000 gpu_busy_percent=97 gtt_used_bytes=unavailable vram_used_bytes=5771362304 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:38:57Z affinity=0-11 nice=0 rss_kib=658064 peak_rss_kib=3199828 mem_available_kib=8057700 swapin_bytes=2002944 max_temp_millicelsius=78000 gpu_busy_percent=97 gtt_used_bytes=unavailable vram_used_bytes=5771362304 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:38:58Z affinity=0-11 nice=0 rss_kib=658064 peak_rss_kib=3199828 mem_available_kib=8063248 swapin_bytes=208896 max_temp_millicelsius=78000 gpu_busy_percent=97 gtt_used_bytes=unavailable vram_used_bytes=5771362304 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:38:59Z affinity=0-11 nice=0 rss_kib=658504 peak_rss_kib=3199828 mem_available_kib=8078560 swapin_bytes=1851392 max_temp_millicelsius=78000 gpu_busy_percent=94 gtt_used_bytes=unavailable vram_used_bytes=5771362304 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:39:01Z affinity=0-11 nice=0 rss_kib=658504 peak_rss_kib=3199828 mem_available_kib=8082976 swapin_bytes=294912 max_temp_millicelsius=77000 gpu_busy_percent=96 gtt_used_bytes=unavailable vram_used_bytes=5771362304 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:39:02Z affinity=0-11 nice=0 rss_kib=658504 peak_rss_kib=3199828 mem_available_kib=8080100 swapin_bytes=7204864 max_temp_millicelsius=77000 gpu_busy_percent=96 gtt_used_bytes=unavailable vram_used_bytes=5802819584 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:39:03Z affinity=0-11 nice=0 rss_kib=658504 peak_rss_kib=3199828 mem_available_kib=8094196 swapin_bytes=1314816 max_temp_millicelsius=77750 gpu_busy_percent=97 gtt_used_bytes=unavailable vram_used_bytes=5802819584 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:39:04Z affinity=0-11 nice=0 rss_kib=658504 peak_rss_kib=3199828 mem_available_kib=8096524 swapin_bytes=1626112 max_temp_millicelsius=77125 gpu_busy_percent=97 gtt_used_bytes=unavailable vram_used_bytes=5799673856 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:39:05Z affinity=0-11 nice=0 rss_kib=658504 peak_rss_kib=3199828 mem_available_kib=8097456 swapin_bytes=626688 max_temp_millicelsius=77375 gpu_busy_percent=96 gtt_used_bytes=unavailable vram_used_bytes=5796528128 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:39:06Z affinity=0-11 nice=0 rss_kib=658504 peak_rss_kib=3199828 mem_available_kib=8097056 swapin_bytes=315392 max_temp_millicelsius=77250 gpu_busy_percent=97 gtt_used_bytes=unavailable vram_used_bytes=5796528128 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:39:07Z affinity=0-11 nice=0 rss_kib=658504 peak_rss_kib=3199828 mem_available_kib=8098160 swapin_bytes=487424 max_temp_millicelsius=77375 gpu_busy_percent=96 gtt_used_bytes=unavailable vram_used_bytes=5796528128 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:39:08Z affinity=0-11 nice=0 rss_kib=658504 peak_rss_kib=3199828 mem_available_kib=8090912 swapin_bytes=2662400 max_temp_millicelsius=77750 gpu_busy_percent=96 gtt_used_bytes=unavailable vram_used_bytes=5802819584 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:39:09Z affinity=0-11 nice=0 rss_kib=658504 peak_rss_kib=3199828 mem_available_kib=8085112 swapin_bytes=946176 max_temp_millicelsius=77500 gpu_busy_percent=97 gtt_used_bytes=unavailable vram_used_bytes=5797576704 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:39:10Z affinity=0-11 nice=0 rss_kib=658504 peak_rss_kib=3199828 mem_available_kib=8093000 swapin_bytes=724992 max_temp_millicelsius=77500 gpu_busy_percent=97 gtt_used_bytes=unavailable vram_used_bytes=5797576704 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:39:12Z affinity=0-11 nice=0 rss_kib=658504 peak_rss_kib=3199828 mem_available_kib=8091908 swapin_bytes=8187904 max_temp_millicelsius=78250 gpu_busy_percent=97 gtt_used_bytes=unavailable vram_used_bytes=5797576704 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:39:13Z affinity=0-11 nice=0 rss_kib=658504 peak_rss_kib=3199828 mem_available_kib=8082056 swapin_bytes=966656 max_temp_millicelsius=77250 gpu_busy_percent=97 gtt_used_bytes=unavailable vram_used_bytes=5772410880 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:39:14Z affinity=0-11 nice=0 rss_kib=659176 peak_rss_kib=3199828 mem_available_kib=8082636 swapin_bytes=299008 max_temp_millicelsius=77125 gpu_busy_percent=100 gtt_used_bytes=unavailable vram_used_bytes=5774508032 sclk=2805 mclk=10251
sample_utc=2026-09-20T21:39:15Z affinity=0-11 nice=0 rss_kib=659176 peak_rss_kib=3199828 mem_available_kib=8071096 swapin_bytes=409600 max_temp_millicelsius=78000 gpu_busy_percent=96 gtt_used_bytes=unavailable vram_used_bytes=5774508032 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:39:16Z affinity=0-11 nice=0 rss_kib=659176 peak_rss_kib=3199828 mem_available_kib=8069492 swapin_bytes=106496 max_temp_millicelsius=77500 gpu_busy_percent=96 gtt_used_bytes=unavailable vram_used_bytes=5774508032 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:39:17Z affinity=0-11 nice=0 rss_kib=659176 peak_rss_kib=3199828 mem_available_kib=8055108 swapin_bytes=1105920 max_temp_millicelsius=77500 gpu_busy_percent=96 gtt_used_bytes=unavailable vram_used_bytes=5774508032 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:39:18Z affinity=0-11 nice=0 rss_kib=659176 peak_rss_kib=3199828 mem_available_kib=8050016 swapin_bytes=364544 max_temp_millicelsius=77500 gpu_busy_percent=97 gtt_used_bytes=unavailable vram_used_bytes=5774508032 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:39:19Z affinity=0-11 nice=0 rss_kib=659176 peak_rss_kib=3199828 mem_available_kib=8051772 swapin_bytes=282624 max_temp_millicelsius=77750 gpu_busy_percent=94 gtt_used_bytes=unavailable vram_used_bytes=5774508032 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:39:20Z affinity=0-11 nice=0 rss_kib=659176 peak_rss_kib=3199828 mem_available_kib=8036940 swapin_bytes=339968 max_temp_millicelsius=77625 gpu_busy_percent=97 gtt_used_bytes=unavailable vram_used_bytes=5774508032 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:39:21Z affinity=0-11 nice=0 rss_kib=659200 peak_rss_kib=3199828 mem_available_kib=8020980 swapin_bytes=413696 max_temp_millicelsius=77750 gpu_busy_percent=100 gtt_used_bytes=unavailable vram_used_bytes=5774508032 sclk=2805 mclk=10251
sample_utc=2026-09-20T21:39:23Z affinity=0-11 nice=0 rss_kib=659200 peak_rss_kib=3199828 mem_available_kib=8040948 swapin_bytes=1892352 max_temp_millicelsius=77750 gpu_busy_percent=100 gtt_used_bytes=unavailable vram_used_bytes=5774508032 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:39:24Z affinity=0-11 nice=0 rss_kib=659200 peak_rss_kib=3199828 mem_available_kib=8039724 swapin_bytes=5562368 max_temp_millicelsius=77750 gpu_busy_percent=95 gtt_used_bytes=unavailable vram_used_bytes=5774508032 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:39:25Z affinity=0-11 nice=0 rss_kib=659200 peak_rss_kib=3199828 mem_available_kib=8023944 swapin_bytes=15089664 max_temp_millicelsius=77625 gpu_busy_percent=96 gtt_used_bytes=unavailable vram_used_bytes=5774508032 sclk=2820 mclk=10251
sample_utc=2026-09-20T21:39:26Z affinity=0-11 nice=0 rss_kib=659200 peak_rss_kib=3199828 mem_available_kib=8028168 swapin_bytes=3751936 max_temp_millicelsius=77625 gpu_busy_percent=96 gtt_used_bytes=unavailable vram_used_bytes=5774508032 sclk=2820 mclk=10251
