arm	request	label	phase	path	detail	src0_type	src1_type	dst_type	mode	graphs	distinct_shapes	dispatch_launches	graph_replays
T3-qwen38-2b-distill	outside	outside	text_decode	MMVQ	-	q6_K	f32	f32	eager	1	1	1	0
T3-qwen38-2b-distill	outside	outside	text_prefill	MMVQ	-	q4_K	f32	f32	eager	1	162	162	0
T3-qwen38-2b-distill	outside	outside	text_prefill	MMVQ	-	q6_K	f32	f32	eager	1	24	24	0
T3-qwen38-2b-distill	r1	text-pp512-tg64	graph_replay	graph_replay	-	-	-	-	replay	61	0	0	61
T3-qwen38-2b-distill	r1	text-pp512-tg64	text_decode	MMVQ	-	q4_K	f32	f32	capture	1	96	96	0
T3-qwen38-2b-distill	r1	text-pp512-tg64	text_decode	MMVQ	-	q4_K	f32	f32	eager	1	96	96	0
T3-qwen38-2b-distill	r1	text-pp512-tg64	text_decode	MMVQ	-	q6_K	f32	f32	capture	1	13	13	0
T3-qwen38-2b-distill	r1	text-pp512-tg64	text_decode	MMVQ	-	q6_K	f32	f32	eager	2	13	14	0
T3-qwen38-2b-distill	r1	text-pp512-tg64	text_decode	MMVQ	fused	q4_K	f32	f32	capture	1	42	42	0
T3-qwen38-2b-distill	r1	text-pp512-tg64	text_decode	MMVQ	fused	q4_K	f32	f32	eager	1	42	42	0
T3-qwen38-2b-distill	r1	text-pp512-tg64	text_decode	MMVQ	fused	q6_K	f32	f32	capture	1	12	12	0
T3-qwen38-2b-distill	r1	text-pp512-tg64	text_decode	MMVQ	fused	q6_K	f32	f32	eager	1	12	12	0
T3-qwen38-2b-distill	r1	text-pp512-tg64	text_prefill	MMQ	-	q4_K	f32	f32	eager	1	162	162	0
T3-qwen38-2b-distill	r1	text-pp512-tg64	text_prefill	MMQ	-	q6_K	f32	f32	eager	1	24	24	0
