slot	arm	profile	direction	prefill_tok_s	decode_tok_s	status	desktop_clients	control_digest
1	default-a	default	forward	6565.15	109.62	completed	kwin_wayland	b988b771534f70c2
2	no-graphs-forward	no-graphs	forward	7014.38	109.50	completed	kwin_wayland	b988b771534f70c2
3	default-after-no-graphs	default	forward	6525.67	110.17	completed	kwin_wayland	b988b771534f70c2
4	no-fusion-forward	no-fusion	forward	6399.15	104.74	completed	kwin_wayland	b988b771534f70c2
5	default-after-no-fusion	default	forward	6459.91	109.44	completed	kwin_wayland	b988b771534f70c2
6	pdl-forward	pdl	forward	6490.11	109.50	completed	kwin_wayland	b988b771534f70c2
7	default-after-pdl	default	forward	6436.82	109.22	completed	kwin_wayland	b988b771534f70c2
8	pdl-reverse	pdl	reverse	6443.06	108.52	completed	kwin_wayland	b988b771534f70c2
9	default-before-pdl	default	reverse	6485.64	108.89	completed	kwin_wayland	b988b771534f70c2
10	no-fusion-reverse	no-fusion	reverse	6321.69	104.66	completed	kwin_wayland	b988b771534f70c2
11	default-before-no-fusion	default	reverse	6482.91	109.66	completed	kwin_wayland	b988b771534f70c2
12	no-graphs-reverse	no-graphs	reverse	6756.02	106.13	completed	kwin_wayland	b988b771534f70c2
13	default-before-no-graphs	default	reverse	6521.85	109.47	completed	kwin_wayland	b988b771534f70c2
