token	span_ns	device_busy_ns	device_idle_ns	api_host_ns	sync_host_ns	host_uncovered_ns
0	10426880	56736	10370144	10320743	10091010	106137
1	11000676	56033	10944643	10894249	10563417	106427
2	12151126	56736	12094390	12070132	11770869	80994
3	10572353	55361	10516992	10471418	10220002	100935
4	11085936	56704	11029232	10986590	10652571	99346
5	10212988	56704	10156284	10080988	9718448	132000
6	10824436	56736	10767700	10749559	10490791	74877
7	10922751	62080	10860671	10793451	10472886	129300
8	10401562	55840	10345722	10284242	9866769	117320
9	10914214	57920	10856294	10796433	10365154	117781
10	10687138	55648	10631490	10575175	10214638	111963
11	11229135	56288	11172847	11131557	10770311	97578
12	10210464	57568	10152896	10111766	9760277	98698
13	11092939	56449	11036490	11010276	10670448	82663
14	12941770	56640	12885130	12842967	12519348	98803
15	9015821	56192	8959629	8922228	8570820	93593
16	4379981	56097	4323884	4295612	3964951	84369
17	4538849	56480	4482369	4474206	4187057	64643
18	4644797	55840	4588957	4534359	4279693	110438
19	4321421	56864	4264557	4247823	3917301	73598
20	4511708	56736	4454972	4435990	4182944	75718
21	4486791	57856	4428935	4424325	4152145	62466
22	4477493	57408	4420085	4406292	4136926	71201
23	4499094	60129	4438965	4350228	4104175	148866
24	4509223	56096	4453127	4446475	4180318	62748
25	4506098	56256	4449842	4456073	4209530	50025
26	4139589	56128	4083461	4093004	3894790	46585
27	4438811	56608	4382203	4380530	4185143	58281
28	4511197	61664	4449533	4447711	4191860	63486
29	4168103	56000	4112103	4113170	3900382	54933
30	4558024	56320	4501704	4494854	4275183	63170
31	6213642	56224	6157418	6153771	5900227	59871
32	4430335	56384	4373951	4358439	4149368	71896
33	4665226	56544	4608682	4596978	4332751	68248
34	6925719	55904	6869815	6857001	6588686	68718
35	4230880	56416	4174464	4164350	3900077	66530
36	4501890	56864	4445026	4434204	4160880	67686
37	4388005	56320	4331685	4324408	4104885	63597
38	4363901	56544	4307357	4306704	4109184	57197
39	4518941	61152	4457789	4453640	4246642	65301
40	4429624	56288	4373336	4374438	4186415	55186
41	7607578	66688	7540890	7527890	7321973	79688
42	4595215	56160	4539055	4519380	4221241	75835
43	4574926	57216	4517710	4504795	4213118	70131
44	4189032	56256	4132776	4135541	3889440	53491
45	4401661	58528	4343133	4328963	4122727	72698
46	4548738	56128	4492610	4477729	4212593	71009
47	4241981	56705	4185276	4176039	3912644	65942
48	4635460	56416	4579044	4567923	4281006	67537
49	4436978	56896	4380082	4371302	4105112	65676
50	4607207	56192	4551015	4536023	4275945	71184
51	4221463	56192	4165271	4156190	3886904	65273
52	4492692	56576	4436116	4424301	4184230	68391
53	4524141	56256	4467885	4459645	4203206	64496
54	4433170	56864	4376306	4369219	4104854	63951
55	4462135	56416	4405719	4397299	4163362	64836
56	4502751	56129	4446622	4443020	4181860	59731
57	4392103	55521	4336582	4334705	4086790	57398
58	4160108	64417	4095691	4100544	3866645	59564
59	4405278	55840	4349438	4349316	4108693	55962
