capture	node.sqlite
device_rows_graph_trace	0
device_rows_kernel	46027
device_rows_memcpy	970
device_rows_memset	2
api_rows	16075
anchor	cudaGraphLaunch
tokens_partitioned	60
median_span_ns	7433067.5
median_span_ns_pct_of_span	100.0
median_device_busy_ns	6472774.5
median_device_busy_ns_pct_of_span	87.1
median_device_idle_ns	738441.0
median_device_idle_ns_pct_of_span	9.9
median_idle_between_device_rows_ns	214272.5
median_idle_between_device_rows_ns_pct_of_span	2.9
median_idle_outside_device_work_ns	518004.5
median_idle_outside_device_work_ns_pct_of_span	7.0
median_api_host_ns	7387374.5
median_api_host_ns_pct_of_span	99.4
median_sync_host_ns	6848289.0
median_sync_host_ns_pct_of_span	92.1
median_host_uncovered_ns	41965.0
median_host_uncovered_ns_pct_of_span	0.6
min_span_ns	3473904
max_span_ns	11313642
min_device_busy_ns	2819998
max_device_busy_ns	9700101
min_device_idle_ns	628887
max_device_idle_ns	1808533
min_idle_between_device_rows_ns	117346
max_idle_between_device_rows_ns	895339
min_idle_outside_device_work_ns	506867
max_idle_outside_device_work_ns	924458
min_api_host_ns	3438312
max_api_host_ns	11262581
min_sync_host_ns	2909575
max_sync_host_ns	10512550
min_host_uncovered_ns	34615
max_host_uncovered_ns	62918
api_call	cudaGetDeviceProperties_v12000	7440
api_call	cuKernelGetName	2900
api_call	cudaLaunchKernel_v7000	2900
api_call	cudaStreamSynchronize_v3020	1756
api_call	cudaMemcpyAsync_v3020	970
api_call	cudaGraphLaunch_v10000	63
api_call	cudaMemGetInfo_v3020	4
api_call	cudaMalloc_v3020	4
api_call	cudaFree_v3020	4
api_call	cuLibraryGetKernel	3
api_call	cuLibraryLoadData	2
api_call	cudaMallocHost_v3020	2
api_call	cudaMemsetAsync_v3020	2
api_call	cudaStreamBeginCapture_v10000	2
api_call	cudaStreamEndCapture_v10000	2
api_call	cudaGraphInstantiate_v12000	2
api_call	cudaGraphExecUpdate_v10020	2
api_call	cudaGraphDestroy_v10000	2
api_call	cudaGraphExecDestroy_v10000	2
api_call	cudaFreeHost_v3020	2
