request	task	batch_serial	mode	entry	image	image_ordinal	chunk_ordinal	slice	tensor	chunk_row_first	n_tokens	chunk_n_tokens	tensor_row_first	byte_first	byte_last_p1	source	buffer	graph_offset	digest	rowchain	expected_rowchain	rowchain_holds	contiguous
1	0	1	device	0	5a202c8aba97cb7f97b49ce30a1e5a9ce071d11cbaa057c98b1d3bd4180db6b1	1	1	1	mtmd_embd_dev	0	32	88	0	0	131072	device	CUDA0	0	82d07454eba27395	d369f84681ac7541	d369f84681ac7541	yes	yes
1	0	1	device	0	5a202c8aba97cb7f97b49ce30a1e5a9ce071d11cbaa057c98b1d3bd4180db6b1	1	1	2	mtmd_embd_dev	32	32	88	32	131072	262144	device	CUDA0	32	2c0c180cada26d02	bd7211d1d9437542	bd7211d1d9437542	yes	yes
1	0	1	device	0	5a202c8aba97cb7f97b49ce30a1e5a9ce071d11cbaa057c98b1d3bd4180db6b1	1	1	3	mtmd_embd_dev	64	24	88	64	262144	360448	device	CUDA0	64	3d3ff698083bd355	19fbba09d0b4a455	19fbba09d0b4a455	yes	yes
2	51	2	device	0	316ffbf8b50f6fa9e97b91450254af8b8e240fe9afee8d72e3535683746e3fd9	1	1	1	mtmd_embd_dev	0	32	77	0	0	131072	device	CUDA0	0	5d3cef57f783aaeb	6939f9edd45653eb	6939f9edd45653eb	yes	yes
2	51	2	device	0	316ffbf8b50f6fa9e97b91450254af8b8e240fe9afee8d72e3535683746e3fd9	1	1	2	mtmd_embd_dev	32	32	77	32	131072	262144	device	CUDA0	32	c1c7635f80244124	3291d274975a3aff	3291d274975a3aff	yes	yes
2	51	2	device	0	316ffbf8b50f6fa9e97b91450254af8b8e240fe9afee8d72e3535683746e3fd9	1	1	3	mtmd_embd_dev	64	13	77	64	262144	315392	device	CUDA0	64	ad514608e9230020	6c6018f4b693b181	6c6018f4b693b181	yes	yes
2	51	3	device	0	f0a18ed9e0ccdda83651b89c7558d69715b8befbc1d7166c0e8b71aef3c50c48	2	1	1	mtmd_embd_dev	0	32	77	0	0	131072	device	CUDA0	0	fb80f0f8548326af	7c4b40684a9d2791	7c4b40684a9d2791	yes	yes
2	51	3	device	0	f0a18ed9e0ccdda83651b89c7558d69715b8befbc1d7166c0e8b71aef3c50c48	2	1	2	mtmd_embd_dev	32	32	77	32	131072	262144	device	CUDA0	32	6788b2f602412daf	0f744c5f9013ecbb	0f744c5f9013ecbb	yes	yes
2	51	3	device	0	f0a18ed9e0ccdda83651b89c7558d69715b8befbc1d7166c0e8b71aef3c50c48	2	1	3	mtmd_embd_dev	64	13	77	64	262144	315392	device	CUDA0	64	d3ba4e41e99855ed	7c677e883c8baed1	7c677e883c8baed1	yes	yes
3	63	4	device	0	5a202c8aba97cb7f97b49ce30a1e5a9ce071d11cbaa057c98b1d3bd4180db6b1	1	1	1	mtmd_embd_dev	0	32	88	0	0	131072	device	CUDA0	0	82d07454eba27395	d369f84681ac7541	d369f84681ac7541	yes	yes
3	63	4	device	0	5a202c8aba97cb7f97b49ce30a1e5a9ce071d11cbaa057c98b1d3bd4180db6b1	1	1	2	mtmd_embd_dev	32	32	88	32	131072	262144	device	CUDA0	32	2c0c180cada26d02	bd7211d1d9437542	bd7211d1d9437542	yes	yes
3	63	4	device	0	5a202c8aba97cb7f97b49ce30a1e5a9ce071d11cbaa057c98b1d3bd4180db6b1	1	1	3	mtmd_embd_dev	64	24	88	64	262144	360448	device	CUDA0	64	3d3ff698083bd355	19fbba09d0b4a455	19fbba09d0b4a455	yes	yes
3	63	5	device	0	e3c5a55ce72132240d7bdb3920c09caa210777a824e2fd7c7ad37eca07a11c5c	2	1	1	mtmd_embd_dev	0	32	77	0	0	131072	device	CUDA0	0	3981986e966b40e8	28ebc0c22f5abade	28ebc0c22f5abade	yes	yes
3	63	5	device	0	e3c5a55ce72132240d7bdb3920c09caa210777a824e2fd7c7ad37eca07a11c5c	2	1	2	mtmd_embd_dev	32	32	77	32	131072	262144	device	CUDA0	32	84a11da02cfe437b	e25191e527c3ed41	e25191e527c3ed41	yes	yes
3	63	5	device	0	e3c5a55ce72132240d7bdb3920c09caa210777a824e2fd7c7ad37eca07a11c5c	2	1	3	mtmd_embd_dev	64	13	77	64	262144	315392	device	CUDA0	64	80dc1aeb642a167f	48af7107d08f99bd	48af7107d08f99bd	yes	yes
4	115	6	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	1	1	mtmd_embd_dev	0	32	256	0	0	131072	device	CUDA0	0	9948f132a656b8db	f748f22a21acef56	f748f22a21acef56	yes	yes
4	115	6	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	1	2	mtmd_embd_dev	32	32	256	32	131072	262144	device	CUDA0	32	ba0894dd0638f998	3a2e6c5711e92580	3a2e6c5711e92580	yes	yes
4	115	6	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	1	3	mtmd_embd_dev	64	32	256	64	262144	393216	device	CUDA0	64	787b22ffe7a83c79	91d356265d9fd723	91d356265d9fd723	yes	yes
4	115	6	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	1	4	mtmd_embd_dev	96	32	256	96	393216	524288	device	CUDA0	96	86083c49ac190551	628e3a5cefc4ca0e	628e3a5cefc4ca0e	yes	yes
