model_id	qwen35-2b
build_directory	$HOME/src/llama.cpp-qwen-nvidia/build-qwen-cuda-53e3d7d1a653
server_sha256	d320b04153c9ac675b5b44c92ecbb9f4854d12b3032a7913a56516af9453a121
images	bars.png compare-a.png shapes.png
repeats	2
predict_tokens	48
arms	host device host-close
model_sha256	57a1085840f497d764a7fc5d346922dbde961efb54cc792ea81d694fd846a1d8
projector	mmproj-Qwen3.5-2B-f16.gguf
projector_sha256	044a0ea136cca70711ae16e23b24d754b44eab6f2462d187aee4d7c7a9503d36
geometry	context=65536 batch=2048 ubatch=512 cache_k=q8_0 cache_v=q4_0 flash_attn=on
clients_open	cuda_client pid=1942 name=/usr/bin/kwin_wayland used=282 MiB exe=unreadable start_time=4765 cgroup=0::/user.slice/user-1000.slice/session-2.scope verdict=record-desktop;cuda_client pid=3551735 name=/opt/microsoft/msedge/msedge --type=gpu-process --enable-gpu-rasterization --enable-webgl-draft-extensions --ozone-platform=wayland --render-node-override=/dev/dri/renderD128 --crashpad-handler-pid=3551626 --enable-crash-reporter=? --disable-breakpad --change-stack-guard-on-fork=enable --gpu-preferences=YAAAAAAAAAAgAQAMAAAAAAAAAAAAAGAASAAAAAAAAAABAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAMAAAAAAAAAAwAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAMAAAAAQAAAAAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --shared-files --metrics-shmem-handle=4?i?10281378972512202149?4132987836958273433?262144 --field-trial-handle=3?i?9915705056276894669?14106460434181892088?262144 --enable-features=WebContentsForceDark?msCopilotMode2?msOmniboxComposerReformulationUx?msOmniboxCopilotChatCommercial --disable-features=EyeDropper --variations-seed-version --pseudonymization-salt-handle=7?i?15144530302869290792?8770019790890903922?4 --trace-process-track-uuid=3190708988185955192 used=228 MiB exe=/opt/microsoft/msedge/msedge start_time=33296844 cgroup=0::/user.slice/user-1000.slice/user@1000.service/app.slice/app-microsoft\x2dedge@cc06c4e777364a53a8ef593ef8967541.service verdict=record-desktop;named_llama_server_pids=-;
arm:host:embd_device	off
arm:host:01-bars	completed prompt_n=114 prompt_ms=147.245
arm:host:02-compare-a	completed prompt_n=71 prompt_ms=32.298
arm:host:03-shapes	completed prompt_n=86 prompt_ms=33.949
arm:host:04-bars	completed prompt_n=114 prompt_ms=36.417
arm:host:05-compare-a	completed prompt_n=71 prompt_ms=31.693
arm:host:06-shapes	completed prompt_n=86 prompt_ms=32.556
arm:host:trace_rows	12
arm:device:embd_device	on
arm:device:01-bars	completed prompt_n=114 prompt_ms=121.719
arm:device:02-compare-a	completed prompt_n=71 prompt_ms=32.834
arm:device:03-shapes	completed prompt_n=86 prompt_ms=33.711
arm:device:04-bars	completed prompt_n=114 prompt_ms=36.284
arm:device:05-compare-a	completed prompt_n=71 prompt_ms=31.138
arm:device:06-shapes	completed prompt_n=86 prompt_ms=33.466
arm:device:trace_rows	12
arm:host-close:embd_device	off
arm:host-close:01-bars	completed prompt_n=114 prompt_ms=119.699
arm:host-close:02-compare-a	completed prompt_n=71 prompt_ms=32.606
arm:host-close:03-shapes	completed prompt_n=86 prompt_ms=34.134
arm:host-close:04-bars	completed prompt_n=114 prompt_ms=36.649
arm:host-close:05-compare-a	completed prompt_n=71 prompt_ms=31.533
arm:host-close:06-shapes	completed prompt_n=86 prompt_ms=33.069
arm:host-close:trace_rows	12
clients_close	cuda_client pid=1942 name=/usr/bin/kwin_wayland used=282 MiB exe=unreadable start_time=4765 cgroup=0::/user.slice/user-1000.slice/session-2.scope verdict=record-desktop;cuda_client pid=3551735 name=/opt/microsoft/msedge/msedge --type=gpu-process --enable-gpu-rasterization --enable-webgl-draft-extensions --ozone-platform=wayland --render-node-override=/dev/dri/renderD128 --crashpad-handler-pid=3551626 --enable-crash-reporter=? --disable-breakpad --change-stack-guard-on-fork=enable --gpu-preferences=YAAAAAAAAAAgAQAMAAAAAAAAAAAAAGAASAAAAAAAAAABAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAMAAAAAAAAAAwAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAMAAAAAQAAAAAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --shared-files --metrics-shmem-handle=4?i?10281378972512202149?4132987836958273433?262144 --field-trial-handle=3?i?9915705056276894669?14106460434181892088?262144 --enable-features=WebContentsForceDark?msCopilotMode2?msOmniboxComposerReformulationUx?msOmniboxCopilotChatCommercial --disable-features=EyeDropper --variations-seed-version --pseudonymization-salt-handle=7?i?15144530302869290792?8770019790890903922?4 --trace-process-track-uuid=3190708988185955192 used=228 MiB exe=/opt/microsoft/msedge/msedge start_time=33296844 cgroup=0::/user.slice/user-1000.slice/user@1000.service/app.slice/app-microsoft\x2dedge@cc06c4e777364a53a8ef593ef8967541.service verdict=record-desktop;named_llama_server_pids=-;
comparison_refusals	0
verdict	admitted
