kind	placement	backend	dst_buffer	bytes	n_tokens	offset	digest
clip	device	CUDA0	CUDA0	720896	-	-	06ec71a5a4d38382
graph	device	CUDA0	-	720896	88	0	06ec71a5a4d38382
clip	device	CUDA0	CUDA0	368640	-	-	a88b7da81e338ec4
graph	device	CUDA0	-	368640	45	0	a88b7da81e338ec4
clip	device	CUDA0	CUDA0	491520	-	-	fa9f4fb51ef1af62
graph	device	CUDA0	-	491520	60	0	fa9f4fb51ef1af62
clip	device	CUDA0	CUDA0	720896	-	-	06ec71a5a4d38382
graph	device	CUDA0	-	720896	88	0	06ec71a5a4d38382
clip	device	CUDA0	CUDA0	368640	-	-	a88b7da81e338ec4
graph	device	CUDA0	-	368640	45	0	a88b7da81e338ec4
clip	device	CUDA0	CUDA0	491520	-	-	fa9f4fb51ef1af62
graph	device	CUDA0	-	491520	60	0	fa9f4fb51ef1af62
