check	stage	arm	result	detail
reply_identity	registry	host	identical	requests=10
slice_digests	registry	host	identical	slices=22
projector_rows	registry	host	identical	chunks=16
trace_verdict	registry	host	holds	-
reply_identity	registry	device	identical	requests=10
slice_digests	registry	device	identical	slices=22
projector_rows	registry	device	identical	chunks=16
trace_verdict	registry	device	holds	-
reply_identity	registry	host-close	identical	requests=10
slice_digests	registry	host-close	identical	slices=22
projector_rows	registry	host-close	identical	chunks=16
trace_verdict	registry	host-close	holds	-
coverage	registry	device	partial	chunk_in_one_ubatch=yes chunk_split_across_ubatches=yes chunk_split_across_decodes=no several_chunks_in_one_batch=no nonzero_row_offset_slices=yes final_partial_ubatch=yes
encoder_tokens	registry	device	observed	316ffbf8b50f6fa9e97b91450254af8b8e240fe9afee8d72e3535683746e3fd9:45 5a202c8aba97cb7f97b49ce30a1e5a9ce071d11cbaa057c98b1d3bd4180db6b1:88 696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb:816 af2dee69b26baef103365b22f5898d172673f139a07595d635d0277a00523855:570 e3c5a55ce72132240d7bdb3920c09caa210777a824e2fd7c7ad37eca07a11c5c:60 f0a18ed9e0ccdda83651b89c7558d69715b8befbc1d7166c0e8b71aef3c50c48:45
reply_identity	split	host	identical	requests=10
slice_digests	split	host	identical	slices=164
projector_rows	split	host	identical	chunks=16
trace_verdict	split	host	holds	-
reply_identity	split	device	identical	requests=10
slice_digests	split	device	identical	slices=164
projector_rows	split	device	identical	chunks=16
trace_verdict	split	device	holds	-
reply_identity	split	host-close	identical	requests=10
slice_digests	split	host-close	identical	slices=164
projector_rows	split	host-close	identical	chunks=16
trace_verdict	split	host-close	holds	-
coverage	split	device	partial	chunk_in_one_ubatch=no chunk_split_across_ubatches=yes chunk_split_across_decodes=yes several_chunks_in_one_batch=no nonzero_row_offset_slices=yes final_partial_ubatch=yes
encoder_tokens	split	device	observed	316ffbf8b50f6fa9e97b91450254af8b8e240fe9afee8d72e3535683746e3fd9:45 5a202c8aba97cb7f97b49ce30a1e5a9ce071d11cbaa057c98b1d3bd4180db6b1:88 696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb:816 af2dee69b26baef103365b22f5898d172673f139a07595d635d0277a00523855:570 e3c5a55ce72132240d7bdb3920c09caa210777a824e2fd7c7ad37eca07a11c5c:60 f0a18ed9e0ccdda83651b89c7558d69715b8befbc1d7166c0e8b71aef3c50c48:45
required_coverage	identity	-	holds	reached=chunk_in_one_ubatch,chunk_split_across_ubatches,chunk_split_across_decodes,nonzero_row_offset_slices,final_partial_ubatch unreached=-
reply_identity	lifetime	host	identical	requests=6
slice_digests	lifetime	host	identical	slices=13
projector_rows	lifetime	host	identical	chunks=9
trace_verdict	lifetime	host	holds	-
cancellations	lifetime	host	observed	cancel-1:elapsed=0.0209:received=0 cancel-2:elapsed=0.1009:received=0 cancel-3:elapsed=0.6009:received=0
cancel_releases	lifetime	host	observed	cancelled=3 release_n_tokens=1025,1027,1027
reply_identity	lifetime	device	identical	requests=6
slice_digests	lifetime	device	identical	slices=13
