request	task	batch_serial	mode	entry	image	image_ordinal	chunk_ordinal	slice	tensor	chunk_row_first	n_tokens	chunk_n_tokens	tensor_row_first	byte_first	byte_last_p1	source	buffer	graph_offset	digest	rowchain	expected_rowchain	rowchain_holds	contiguous
1	0	1	device	0	5a202c8aba97cb7f97b49ce30a1e5a9ce071d11cbaa057c98b1d3bd4180db6b1	1	1	1	mtmd_embd_dev	0	88	88	0	0	720896	device	CUDA0	0	06ec71a5a4d38382	5d0dbb0c2e5d39de	5d0dbb0c2e5d39de	yes	yes
2	51	2	device	0	316ffbf8b50f6fa9e97b91450254af8b8e240fe9afee8d72e3535683746e3fd9	1	1	1	mtmd_embd_dev	0	45	45	0	0	368640	device	CUDA0	0	a88b7da81e338ec4	02f2b437c61af467	02f2b437c61af467	yes	yes
2	51	3	device	0	f0a18ed9e0ccdda83651b89c7558d69715b8befbc1d7166c0e8b71aef3c50c48	2	1	1	mtmd_embd_dev	0	45	45	0	0	368640	device	CUDA0	0	6d1472fc33519ef4	fe25aa175111f211	fe25aa175111f211	yes	yes
3	103	4	device	0	5a202c8aba97cb7f97b49ce30a1e5a9ce071d11cbaa057c98b1d3bd4180db6b1	1	1	1	mtmd_embd_dev	0	88	88	0	0	720896	device	CUDA0	0	06ec71a5a4d38382	5d0dbb0c2e5d39de	5d0dbb0c2e5d39de	yes	yes
3	103	5	device	0	e3c5a55ce72132240d7bdb3920c09caa210777a824e2fd7c7ad37eca07a11c5c	2	1	1	mtmd_embd_dev	0	60	60	0	0	491520	device	CUDA0	0	fa9f4fb51ef1af62	e575bbb3ddd9f79c	e575bbb3ddd9f79c	yes	yes
4	155	6	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	1	1	mtmd_embd_dev	0	512	816	0	0	4194304	device	CUDA0	0	e7489fb0b0a2d06b	d363dee2c5a27358	d363dee2c5a27358	yes	yes
4	155	6	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	1	2	mtmd_embd_dev	512	304	816	512	4194304	6684672	device	CUDA0	512	29d71620217b5245	484833d93825c03f	484833d93825c03f	yes	yes
5	206	7	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	1	1	mtmd_embd_dev	0	512	816	0	0	4194304	device	CUDA0	0	e7489fb0b0a2d06b	d363dee2c5a27358	d363dee2c5a27358	yes	yes
5	206	7	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	1	2	mtmd_embd_dev	512	304	816	512	4194304	6684672	device	CUDA0	512	29d71620217b5245	484833d93825c03f	484833d93825c03f	yes	yes
5	206	8	device	0	af2dee69b26baef103365b22f5898d172673f139a07595d635d0277a00523855	2	1	1	mtmd_embd_dev	0	512	570	0	0	4194304	device	CUDA0	0	998d724ee653ba62	57e64cb86827ed93	57e64cb86827ed93	yes	yes
