request	task	batch_serial	mode	entry	image	image_ordinal	chunk_ordinal	slice	tensor	chunk_row_first	n_tokens	chunk_n_tokens	tensor_row_first	byte_first	byte_last_p1	source	buffer	graph_offset	digest	rowchain	expected_rowchain	rowchain_holds	contiguous
1	0	1	device	0	5a202c8aba97cb7f97b49ce30a1e5a9ce071d11cbaa057c98b1d3bd4180db6b1	1	1	1	mtmd_embd_dev	0	88	88	0	0	720896	device	CUDA0	0	06ec71a5a4d38382	5d0dbb0c2e5d39de	5d0dbb0c2e5d39de	yes	yes
2	51	2	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	1	1	mtmd_embd_dev	0	512	816	0	0	4194304	device	CUDA0	0	e7489fb0b0a2d06b	d363dee2c5a27358	d363dee2c5a27358	yes	yes
2	51	2	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	1	2	mtmd_embd_dev	512	304	816	512	4194304	6684672	device	CUDA0	512	29d71620217b5245	484833d93825c03f	484833d93825c03f	yes	yes
3	54	3	device	0	5a202c8aba97cb7f97b49ce30a1e5a9ce071d11cbaa057c98b1d3bd4180db6b1	1	1	1	mtmd_embd_dev	0	88	88	0	0	720896	device	CUDA0	0	06ec71a5a4d38382	5d0dbb0c2e5d39de	5d0dbb0c2e5d39de	yes	yes
4	292	4	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	1	1	mtmd_embd_dev	0	512	816	0	0	4194304	device	CUDA0	0	e7489fb0b0a2d06b	d363dee2c5a27358	d363dee2c5a27358	yes	yes
4	292	4	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	1	2	mtmd_embd_dev	512	304	816	512	4194304	6684672	device	CUDA0	512	29d71620217b5245	484833d93825c03f	484833d93825c03f	yes	yes
5	295	5	device	0	5a202c8aba97cb7f97b49ce30a1e5a9ce071d11cbaa057c98b1d3bd4180db6b1	1	1	1	mtmd_embd_dev	0	88	88	0	0	720896	device	CUDA0	0	06ec71a5a4d38382	5d0dbb0c2e5d39de	5d0dbb0c2e5d39de	yes	yes
6	533	6	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	1	1	mtmd_embd_dev	0	512	816	0	0	4194304	device	CUDA0	0	e7489fb0b0a2d06b	d363dee2c5a27358	d363dee2c5a27358	yes	yes
6	533	6	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	1	2	mtmd_embd_dev	512	304	816	512	4194304	6684672	device	CUDA0	512	29d71620217b5245	484833d93825c03f	484833d93825c03f	yes	yes
7	638	7	device	0	5a202c8aba97cb7f97b49ce30a1e5a9ce071d11cbaa057c98b1d3bd4180db6b1	1	1	1	mtmd_embd_dev	0	88	88	0	0	720896	device	CUDA0	0	06ec71a5a4d38382	5d0dbb0c2e5d39de	5d0dbb0c2e5d39de	yes	yes
8	774	8	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	1	1	mtmd_embd_dev	0	512	816	0	0	4194304	device	CUDA0	0	e7489fb0b0a2d06b	d363dee2c5a27358	d363dee2c5a27358	yes	yes
8	774	8	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	1	2	mtmd_embd_dev	512	304	816	512	4194304	6684672	device	CUDA0	512	29d71620217b5245	484833d93825c03f	484833d93825c03f	yes	yes
9	825	9	device	0	5a202c8aba97cb7f97b49ce30a1e5a9ce071d11cbaa057c98b1d3bd4180db6b1	1	1	1	mtmd_embd_dev	0	88	88	0	0	720896	device	CUDA0	0	06ec71a5a4d38382	5d0dbb0c2e5d39de	5d0dbb0c2e5d39de	yes	yes
