start_ns	end_ns	kind	bytes	src_kind	dst_kind	stream	api	kernel_before	kernel_after	embedding_sized	row_multiple
44632483	44646563	Host-to-Device	262144	Pinned	Device	13	cudaMemcpyAsync_v3020	-	k_get_rows_kq	no	yes
96066738	96110802	Host-to-Device	1081344	Pageable	Device	13	cudaMemcpyAsync_v3020	rms_norm_f32	im2col_kernel	no	yes
126353097	126355177	Device-to-Device	1441792	Device	Device	15	cudaMemcpyAsync_v3020	convert_unary	im2col_kernel	no	yes
126384234	126386186	Device-to-Device	1441792	Device	Device	15	cudaMemcpyAsync_v3020	convert_unary	k_bin_bcast	no	yes
126769164	126771020	Device-to-Device	1441792	Device	Device	15	cudaMemcpyAsync_v3020	cpy_scalar	cpy_scalar	no	yes
136689523	136691411	Device-to-Device	720896	Device	Device	13	cudaMemcpyAsync_v3020	k_bin_bcast	rms_norm_f32	yes	yes
137540089	137553625	Host-to-Device	262144	Pinned	Device	13	cudaMemcpyAsync_v3020	k_bin_bcast	rms_norm_f32	no	yes
161934631	161947207	Host-to-Device	262144	Pinned	Device	13	cudaMemcpyAsync_v3020	rms_norm_f32	k_get_rows_kq	no	yes
170809734	170814502	Device-to-Host	73728	Device	Pageable	13	cudaMemcpyAsync_v3020	rms_norm_f32	k_get_rows_kq	no	yes
170830438	170834662	Device-to-Host	73728	Device	Pageable	13	cudaMemcpyAsync_v3020	rms_norm_f32	k_get_rows_kq	no	yes
170846918	170850502	Device-to-Host	73728	Device	Pageable	13	cudaMemcpyAsync_v3020	rms_norm_f32	k_get_rows_kq	no	yes
170861830	170865478	Device-to-Host	73728	Device	Pageable	13	cudaMemcpyAsync_v3020	rms_norm_f32	k_get_rows_kq	no	yes
170876582	170880230	Device-to-Host	73728	Device	Pageable	13	cudaMemcpyAsync_v3020	rms_norm_f32	k_get_rows_kq	no	yes
170891622	170895367	Device-to-Host	73728	Device	Pageable	13	cudaMemcpyAsync_v3020	rms_norm_f32	k_get_rows_kq	no	yes
170906439	170910119	Device-to-Host	73728	Device	Pageable	13	cudaMemcpyAsync_v3020	rms_norm_f32	k_get_rows_kq	no	yes
170921223	170924967	Device-to-Host	73728	Device	Pageable	13	cudaMemcpyAsync_v3020	rms_norm_f32	k_get_rows_kq	no	yes
170935975	170939591	Device-to-Host	73728	Device	Pageable	13	cudaMemcpyAsync_v3020	rms_norm_f32	k_get_rows_kq	no	yes
170950887	170954503	Device-to-Host	73728	Device	Pageable	13	cudaMemcpyAsync_v3020	rms_norm_f32	k_get_rows_kq	no	yes
170965927	170969735	Device-to-Host	73728	Device	Pageable	13	cudaMemcpyAsync_v3020	rms_norm_f32	k_get_rows_kq	no	yes
170980743	170984391	Device-to-Host	73728	Device	Pageable	13	cudaMemcpyAsync_v3020	rms_norm_f32	k_get_rows_kq	no	yes
170995207	170998791	Device-to-Host	73728	Device	Pageable	13	cudaMemcpyAsync_v3020	rms_norm_f32	k_get_rows_kq	no	yes
171009639	171013255	Device-to-Host	73728	Device	Pageable	13	cudaMemcpyAsync_v3020	rms_norm_f32	k_get_rows_kq	no	yes
171023911	171027495	Device-to-Host	73728	Device	Pageable	13	cudaMemcpyAsync_v3020	rms_norm_f32	k_get_rows_kq	no	yes
171038376	171042152	Device-to-Host	73728	Device	Pageable	13	cudaMemcpyAsync_v3020	rms_norm_f32	k_get_rows_kq	no	yes
171053672	171057320	Device-to-Host	73728	Device	Pageable	13	cudaMemcpyAsync_v3020	rms_norm_f32	k_get_rows_kq	no	yes
171068712	171072328	Device-to-Host	73728	Device	Pageable	13	cudaMemcpyAsync_v3020	rms_norm_f32	k_get_rows_kq	no	yes
171083752	171128936	Device-to-Host	1048576	Device	Pageable	13	cudaMemcpyAsync_v3020	rms_norm_f32	k_get_rows_kq	no	yes
171210921	171251753	Device-to-Host	1048576	Device	Pageable	13	cudaMemcpyAsync_v3020	rms_norm_f32	k_get_rows_kq	no	yes
171329514	171370218	Device-to-Host	1048576	Device	Pageable	13	cudaMemcpyAsync_v3020	rms_norm_f32	k_get_rows_kq	no	yes
171444522	171485419	Device-to-Host	1048576	Device	Pageable	13	cudaMemcpyAsync_v3020	rms_norm_f32	k_get_rows_kq	no	yes
171553131	171593803	Device-to-Host	1048576	Device	Pageable	13	cudaMemcpyAsync_v3020	rms_norm_f32	k_get_rows_kq	no	yes
171660812	171701644	Device-to-Host	1048576	Device	Pageable	13	cudaMemcpyAsync_v3020	rms_norm_f32	k_get_rows_kq	no	yes
171767565	171808429	Device-to-Host	1048576	Device	Pageable	13	cudaMemcpyAsync_v3020	rms_norm_f32	k_get_rows_kq	no	yes
171874253	171915246	Device-to-Host	1048576	Device	Pageable	13	cudaMemcpyAsync_v3020	rms_norm_f32	k_get_rows_kq	no	yes
171982958	172023599	Device-to-Host	1048576	Device	Pageable	13	cudaMemcpyAsync_v3020	rms_norm_f32	k_get_rows_kq	no	yes
172090031	172130959	Device-to-Host	1048576	Device	Pageable	13	cudaMemcpyAsync_v3020	rms_norm_f32	k_get_rows_kq	no	yes
172197968	172238608	Device-to-Host	1048576	Device	Pageable	13	cudaMemcpyAsync_v3020	rms_norm_f32	k_get_rows_kq	no	yes
172304945	172345873	Device-to-Host	1048576	Device	Pageable	13	cudaMemcpyAsync_v3020	rms_norm_f32	k_get_rows_kq	no	yes
172411921	172452498	Device-to-Host	1048576	Device	Pageable	13	cudaMemcpyAsync_v3020	rms_norm_f32	k_get_rows_kq	no	yes
172527634	172568530	Device-to-Host	1048576	Device	Pageable	13	cudaMemcpyAsync_v3020	rms_norm_f32	k_get_rows_kq	no	yes
172643635	172684307	Device-to-Host	1048576	Device	Pageable	13	cudaMemcpyAsync_v3020	rms_norm_f32	k_get_rows_kq	no	yes
172754932	172795796	Device-to-Host	1048576	Device	Pageable	13	cudaMemcpyAsync_v3020	rms_norm_f32	k_get_rows_kq	no	yes
172866357	172906997	Device-to-Host	1048576	Device	Pageable	13	cudaMemcpyAsync_v3020	rms_norm_f32	k_get_rows_kq	no	yes
172977845	173018582	Device-to-Host	1048576	Device	Pageable	13	cudaMemcpyAsync_v3020	rms_norm_f32	k_get_rows_kq	no	yes
173730907	173747771	Host-to-Device	262144	Pinned	Device	13	cudaMemcpyAsync_v3020	rms_norm_f32	k_get_rows_kq	no	yes
