# gpu         pid   type     sm    mem    enc    dec    jpg    ofa    command 
# Idx           #    C/G      %      %      %      %      %      %    name 
    0       1942   C+G     33      2      -      0      -      -    kwin_wayland   
    0       2062     G      -      -      -      -      -      -    Xwayland       
    0       2070     G      -      -      -      -      -      -    plasmashell    
    0       2125     G      -      -      -      -      -      -    xdg-desktop-por
    0       2232     G      -      -      -      -      -      -    firefox        
    0       2239     G      9      0      -      -      -      -    krfb           
    0     483457   C+G      -      -      -      -      -      -    renderD128 --cr
    0     483747   C+G      -      -      -      -      -      -                   
    0    2512578     G      -      -      -      -      -      -    Codex --change-
    0    3295021   C+G      4      0      -      -      -      -    vulkan-graphics
    0       1942   C+G     48      4      -      0      -      -    kwin_wayland   
    0       2062     G      -      -      -      -      -      -    Xwayland       
    0       2070     G      -      -      -      -      -      -    plasmashell    
    0       2125     G      -      -      -      -      -      -    xdg-desktop-por
    0       2232     G      -      -      -      -      -      -    firefox        
    0       2239     G      -      -      -      -      -      -    krfb           
    0     483457   C+G      -      -      -      -      -      -    renderD128 --cr
    0     483747   C+G      -      -      -      -      -      -                   
    0    2512578     G      -      -      -      -      -      -    Codex --change-
    0    3295021   C+G      -      -      -      -      -      -    vulkan-graphics
    0       1942   C+G     29      2      -      0      -      -    kwin_wayland   
    0       2062     G      -      -      -      -      -      -    Xwayland       
    0       2070     G      -      -      -      -      -      -    plasmashell    
    0       2125     G      -      -      -      -      -      -    xdg-desktop-por
    0       2232     G      -      -      -      -      -      -    firefox        
    0       2239     G      9      0      -      -      -      -    krfb           
    0     483457   C+G      -      -      -      -      -      -    renderD128 --cr
    0     483747   C+G     10      0      -      -      -      -                   
    0    2512578     G      -      -      -      -      -      -    Codex --change-
    0    3295021   C+G      -      -      -      -      -      -    vulkan-graphics
    0       1942   C+G     28      2      -      0      -      -    kwin_wayland   
    0       2062     G      -      -      -      -      -      -    Xwayland       
    0       2070     G      -      -      -      -      -      -    plasmashell    
    0       2125     G      -      -      -      -      -      -    xdg-desktop-por
    0       2232     G      -      -      -      -      -      -    firefox        
    0       2239     G      9      0      -      -      -      -    krfb           
    0     483457   C+G      -      -      -      -      -      -    renderD128 --cr
    0     483747   C+G      -      -      -      -      -      -                   
    0    2512578     G      -      -      -      -      -      -    Codex --change-
    0    3295021   C+G      9      0      -      -      -      -    vulkan-graphics
    0       1942   C+G     19      1      -      0      -      -    kwin_wayland   
    0       2062     G      -      -      -      -      -      -    Xwayland       
    0       2070     G      -      -      -      -      -      -    plasmashell    
    0       2125     G      -      -      -      -      -      -    xdg-desktop-por
# gpu         pid   type     sm    mem    enc    dec    jpg    ofa    command 
# Idx           #    C/G      %      %      %      %      %      %    name 
    0       2232     G      -      -      -      -      -      -    firefox        
    0       2239     G      9      0      -      -      -      -    krfb           
