phase	closure	length	base	width	repeat	prompt_n	prompt_ms	predicted_n	predicted_ms	tokens_sha256
opening-control	build-appliance-current	17	0	17	1	17	33.873	32	152.465	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	18	0	18	1	18	11.33	32	146.898	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	19	0	19	1	19	15.771	32	140.922	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	20	0	20	1	20	13.28	32	139.978	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	529	512	17	1	529	38.604	32	156.583	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	530	512	18	1	530	36.743	32	148.476	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	531	512	19	1	531	34.278	32	139.839	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	532	512	20	1	532	36.518	32	151.529	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	1041	1024	17	1	1041	59.589	32	141.307	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	1042	1024	18	1	1042	62.641	32	156.282	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	1043	1024	19	1	1043	60.103	32	158.417	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	1044	1024	20	1	1044	60.261	32	154.659	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	2065	2048	17	1	2065	105.992	32	145.621	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	2066	2048	18	1	2066	101.046	32	150.243	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	2067	2048	19	1	2067	98.621	32	153.702	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	2068	2048	20	1	2068	101.159	32	147.566	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	17	0	17	2	17	15.819	32	149.416	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	18	0	18	2	18	14.927	32	153.664	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
opening-control	build-appliance-current	19	0	19	2	19	16.219	32	147.648	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
