phase	pair	position	arm	closure	base	width	length	prompt_n	prompt_ms	predicted_n	predicted_ms	tokens_sha256	content_sha256
warmup	0	0	control	build-appliance-current	512	19	531	531	43.864	32	130.835	a4fd5848ad9dea979dae4da59cb00441f0fba099c02261ef10c1f606f6cb9c2a	c7eba51e8d0c0c18809abc58e5e1340c3764df09b72020d2f52cc65a29bc1a2d
warmup	0	0	subject	build-qwen-cuda-73af02b39194	512	19	531	531	41.743	32	124.714	9bbae2c98923cb66b3e1f2741c3317f7ed4635a1b5a91a0eefd6eee786cec2d4	7ba918da00adb9175eec1a93b840c56bef26c47ccba383dea713b12da9b902ac
warmup	0	0	control	build-appliance-current	512	20	532	532	32.582	32	121.424	1f9e5fbd73d1b7c67287c7419396567d9d2dbf071b682f9cc8ffe9e0b4c88f5c	d87fa6e9310690d1deb0f94c1167d584fab404bb972192546a4a7d74dd21c640
warmup	0	0	subject	build-qwen-cuda-73af02b39194	512	20	532	532	34.13	32	122.924	1f9e5fbd73d1b7c67287c7419396567d9d2dbf071b682f9cc8ffe9e0b4c88f5c	d87fa6e9310690d1deb0f94c1167d584fab404bb972192546a4a7d74dd21c640
warmup	0	0	control	build-appliance-current	1024	19	1043	1043	52.529	32	119.279	e2b2ed5b606e9c7f67b998bc6e8ce426f2a7d816aac04b525e187d7c47d02981	285b302e7ba8371eaf836e7b6088e7e0eb0569a97cda2a6969dab59bf526819a
warmup	0	0	subject	build-qwen-cuda-73af02b39194	1024	19	1043	1043	51.582	32	117.773	53bbebf9f17ffdf1e8edb7d2b225bf46c01021f81d35c20cf10ad588be70e68d	4f0a19875ab4871f8479f46200bbf2322a330155dafc1b65da7e668fe0dca546
warmup	0	0	control	build-appliance-current	1024	20	1044	1044	51.546	32	119.506	ab5d09a26fc5fd4c5a82858f777e9893cdbc42a745928da1c865817e94a88aa3	61c5516fe5ccb09b52e2b52a0c090dbdc066f36963dd75b0787eb069e11d8956
warmup	0	0	subject	build-qwen-cuda-73af02b39194	1024	20	1044	1044	49.646	32	118.186	ab5d09a26fc5fd4c5a82858f777e9893cdbc42a745928da1c865817e94a88aa3	61c5516fe5ccb09b52e2b52a0c090dbdc066f36963dd75b0787eb069e11d8956
warmup	0	0	control	build-appliance-current	2048	19	2067	2067	92.898	32	116.999	a6de14c940cfb3557d069f21a6ed7122a63282c5a7bf664b32eae979a0df7162	0ca3575171b2dc746f7cbea6a036c5c87a4afd9c342743982e19e2db3e59ccdc
warmup	0	0	subject	build-qwen-cuda-73af02b39194	2048	19	2067	2067	99.253	32	118.746	ec71ee1c74e84d7ed1171edcb0d72e345e8820ea45790cc05deddaa5aad31da7	51e13e48a84806c6d6225d0708e3af83d8be9ecb560b6b0f67bb4f29a98b6746
warmup	0	0	control	build-appliance-current	2048	20	2068	2068	91.674	32	121.714	32178bc4deccec67fc93b611911322a5d59927c6cd038ce45aeec86eec8594c4	7780e4df0dca0d8ca38f766e8c09aa01c1caff730ab464b359b83af771d0212a
warmup	0	0	subject	build-qwen-cuda-73af02b39194	2048	20	2068	2068	94.945	32	123.679	32178bc4deccec67fc93b611911322a5d59927c6cd038ce45aeec86eec8594c4	7780e4df0dca0d8ca38f766e8c09aa01c1caff730ab464b359b83af771d0212a
paired	1	1	control	build-appliance-current	512	19	531	531	31.351	32	117.356	a4fd5848ad9dea979dae4da59cb00441f0fba099c02261ef10c1f606f6cb9c2a	c7eba51e8d0c0c18809abc58e5e1340c3764df09b72020d2f52cc65a29bc1a2d
paired	1	2	subject	build-qwen-cuda-73af02b39194	512	19	531	531	28.596	32	115.86	9bbae2c98923cb66b3e1f2741c3317f7ed4635a1b5a91a0eefd6eee786cec2d4	7ba918da00adb9175eec1a93b840c56bef26c47ccba383dea713b12da9b902ac
paired	1	1	control	build-appliance-current	512	20	532	532	30.61	32	122.349	1f9e5fbd73d1b7c67287c7419396567d9d2dbf071b682f9cc8ffe9e0b4c88f5c	d87fa6e9310690d1deb0f94c1167d584fab404bb972192546a4a7d74dd21c640
paired	1	2	subject	build-qwen-cuda-73af02b39194	512	20	532	532	30.419	32	116.396	1f9e5fbd73d1b7c67287c7419396567d9d2dbf071b682f9cc8ffe9e0b4c88f5c	d87fa6e9310690d1deb0f94c1167d584fab404bb972192546a4a7d74dd21c640
paired	1	1	control	build-appliance-current	1024	19	1043	1043	51.335	32	115.631	e2b2ed5b606e9c7f67b998bc6e8ce426f2a7d816aac04b525e187d7c47d02981	285b302e7ba8371eaf836e7b6088e7e0eb0569a97cda2a6969dab59bf526819a
paired	1	2	subject	build-qwen-cuda-73af02b39194	1024	19	1043	1043	49.649	32	117.953	53bbebf9f17ffdf1e8edb7d2b225bf46c01021f81d35c20cf10ad588be70e68d	4f0a19875ab4871f8479f46200bbf2322a330155dafc1b65da7e668fe0dca546
paired	1	1	control	build-appliance-current	1024	20	1044	1044	52.661	32	118.386	ab5d09a26fc5fd4c5a82858f777e9893cdbc42a745928da1c865817e94a88aa3	61c5516fe5ccb09b52e2b52a0c090dbdc066f36963dd75b0787eb069e11d8956
paired	1	2	subject	build-qwen-cuda-73af02b39194	1024	20	1044	1044	50.962	32	117.414	ab5d09a26fc5fd4c5a82858f777e9893cdbc42a745928da1c865817e94a88aa3	61c5516fe5ccb09b52e2b52a0c090dbdc066f36963dd75b0787eb069e11d8956
paired	1	1	control	build-appliance-current	2048	19	2067	2067	95.375	32	118.733	a6de14c940cfb3557d069f21a6ed7122a63282c5a7bf664b32eae979a0df7162	0ca3575171b2dc746f7cbea6a036c5c87a4afd9c342743982e19e2db3e59ccdc
paired	1	2	subject	build-qwen-cuda-73af02b39194	2048	19	2067	2067	92.034	32	115.808	ec71ee1c74e84d7ed1171edcb0d72e345e8820ea45790cc05deddaa5aad31da7	51e13e48a84806c6d6225d0708e3af83d8be9ecb560b6b0f67bb4f29a98b6746
paired	1	1	control	build-appliance-current	2048	20	2068	2068	92.968	32	117.932	32178bc4deccec67fc93b611911322a5d59927c6cd038ce45aeec86eec8594c4	7780e4df0dca0d8ca38f766e8c09aa01c1caff730ab464b359b83af771d0212a
paired	1	2	subject	build-qwen-cuda-73af02b39194	2048	20	2068	2068	90.352	32	116.626	32178bc4deccec67fc93b611911322a5d59927c6cd038ce45aeec86eec8594c4	7780e4df0dca0d8ca38f766e8c09aa01c1caff730ab464b359b83af771d0212a
