model_id	qwen38-2b-distill
control_sha256	fad93f3ec419979c8bfefb8c2c68f27e68fd7ee55185371ab0cf61280bfd7718
control_path	$HOME/src/llama.cpp-qwen-nvidia/build-qwen-cuda-385e13f0df08/bin/llama-server
subject_sha256	fad93f3ec419979c8bfefb8c2c68f27e68fd7ee55185371ab0cf61280bfd7718
subject_path	$HOME/src/llama.cpp-qwen-nvidia/build-qwen-cuda-385e13f0df08/bin/llama-server
subject_environment	LLAMA_KV_PAGED_BUFFER=1
slot_depth	4096
slot_offset	0
context_checkpoints	8
prompt_tokens_requested	448
predict	128
filled_depth	576
admission	primed
repeats	4
levels	1 3
batch	2048
ubatch	512
prompt_tokens	448
passage_tokens	33372
