graph_ordinal	t_begin_ns	key	key_ordinal	topology_digest	pointer_digest	n_nodes	n_tokens	n_outputs	n_kv	n_rs	enabled	compatible	properties_changed	change_reason	change_node	change_op	change_name	change_categories	warmup_before	warmup_after	action	executable	host_us	device_ms
0	1788563400127055353	0x7f4033e2f3b0	1	7565fec99ff6ebb7	01d18a65db357684	1459	2	1	256	-1	1	1	1	first_compute	-1	-	-	-	0	0	direct	none	33592	35.3669
1	1788563400355738967	0x7f4033e2f3b0	1	da7570afdbb81394	6251e6629d4a96ec	1459	252	0	256	-1	1	1	1	structure	0	GET_ROWS	model.input_embed	shape,data	0	0	direct	none	12584	24.2479
2	1788563400383098424	0x7f4033e2f3b0	1	802ba1f19f5ea689	34c052eb6c71073b	1459	4	1	256	-1	1	1	1	structure	0	GET_ROWS	model.input_embed	shape,data	0	0	direct	none	7995	9.9604
3	1788563400394915927	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	1	structure	0	GET_ROWS	model.input_embed	shape,data	0	0	direct	none	3412	5.2508
4	1788563400401018572	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	0	1	capture	update	2995	6.2877
5	1788563400408138086	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	500	3.7857
6	1788563400412743451	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	480	3.7830
7	1788563400417329940	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	458	3.7650
8	1788563400421870333	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	461	3.7995
9	1788563400426458275	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	457	3.7781
10	1788563400431020249	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	462	3.7840
11	1788563400435591389	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	458	3.7752
12	1788563400440147942	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	459	3.7820
13	1788563400444708002	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	458	3.7860
14	1788563400449275526	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	461	3.7725
15	1788563400453836397	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	458	3.7820
16	1788563400458391387	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	456	3.7762
17	1788563400462942580	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	459	3.7886
18	1788563400467515584	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	456	3.7642
19	1788563400472060015	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	459	3.7948
20	1788563400476637938	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	457	3.7847
21	1788563400481210461	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	463	3.7879
22	1788563400485779838	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	459	3.7660
23	1788563400490329418	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	458	3.7995
24	1788563400494906240	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	467	3.7656
25	1788563400499459256	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	458	3.7676
26	1788563400504006652	0x7f4033e2f3b0	1	0dfa7fc3533697c4	f37601634774cb4b	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	463	3.7798
27	1788563400509131091	0x7f4033e2f3b0	1	94dc22ce3d23b91b	20b747b29faadf49	1459	2	1	512	-1	1	1	1	structure	0	GET_ROWS	model.input_embed	shape,data	1	0	direct	none	2558	4.7406
28	1788563400514432442	0x7f4033e2f3b0	1	d8f873be867a8271	a390c74fc721b854	1459	251	0	256	-1	1	1	1	structure	0	GET_ROWS	model.input_embed	shape,data	0	0	direct	none	2984	16.8534
29	1788563400537903941	0x7f4033e2f3b0	1	79cc5f245f480542	20f1f5a0effcc87d	1459	2	1	512	-1	1	1	1	structure	0	GET_ROWS	model.input_embed	shape,data	0	0	direct	none	2400	4.5742
30	1788563400543033069	0x7f4033e2f3b0	1	bcd06391008a2d68	572116468cd1b73d	1459	3	1	256	-1	1	1	1	structure	0	GET_ROWS	model.input_embed	shape,data	0	0	direct	none	2461	4.5353
31	1788563400549454422	0x7f4033e2f3b0	1	d702fd6fe588b6cb	20f1f5a0effcc87d	1459	2	2	512	-1	1	1	1	structure	0	GET_ROWS	model.input_embed	shape,data	0	0	direct	none	2409	4.5502
32	1788563400555062129	0x7f4033e2f3b0	1	d702fd6fe588b6cb	20f1f5a0effcc87d	1459	2	2	512	-1	1	1	0	none	-1	-	-	-	0	1	capture	reinstantiate	2861	6.4133
33	1788563400562514468	0x7f4033e2f3b0	1	d702fd6fe588b6cb	20f1f5a0effcc87d	1459	2	2	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	466	4.0420
34	1788563400567587550	0x7f4033e2f3b0	1	d702fd6fe588b6cb	20f1f5a0effcc87d	1459	2	2	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	462	4.0079
35	1788563400572697442	0x7f4033e2f3b0	1	d702fd6fe588b6cb	20f1f5a0effcc87d	1459	2	2	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	461	4.0284
36	1788563400577745788	0x7f4033e2f3b0	1	d702fd6fe588b6cb	20f1f5a0effcc87d	1459	2	2	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	460	4.0297
37	1788563400582802761	0x7f4033e2f3b0	1	d702fd6fe588b6cb	20f1f5a0effcc87d	1459	2	2	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	461	4.0168
38	1788563400587838614	0x7f4033e2f3b0	1	d702fd6fe588b6cb	20f1f5a0effcc87d	1459	2	2	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	460	4.0394
39	1788563400592898041	0x7f4033e2f3b0	1	d702fd6fe588b6cb	20f1f5a0effcc87d	1459	2	2	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	463	4.0103
40	1788563400597934725	0x7f4033e2f3b0	1	d702fd6fe588b6cb	20f1f5a0effcc87d	1459	2	2	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	463	4.0106
41	1788563400602994613	0x7f4033e2f3b0	1	d702fd6fe588b6cb	20f1f5a0effcc87d	1459	2	2	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	462	4.0341
