graph_ordinal	t_begin_ns	key	key_ordinal	topology_digest	pointer_digest	n_nodes	n_tokens	n_outputs	n_kv	n_rs	enabled	compatible	properties_changed	change_reason	change_node	change_op	change_name	change_categories	warmup_before	warmup_after	action	executable	host_us	device_ms
0	1788562116235724653	0x7f7af08c93b0	1	7565fec99ff6ebb7	c196cc1514ebb831	1459	2	1	256	-1	1	1	1	first_compute	-1	-	-	-	0	0	direct	none	37385	51.5287
1	1788562116510436798	0x7f7af08c93b0	1	da7570afdbb81394	2431a8fa2ddc5a4e	1459	252	0	256	-1	1	1	1	structure	0	GET_ROWS	model.input_embed	shape,data	0	0	direct	none	25859	123.9948
2	1788562116637538157	0x7f7af08c93b0	1	802ba1f19f5ea689	439a0fd9a059e2a3	1459	4	1	256	-1	1	1	1	structure	0	GET_ROWS	model.input_embed	shape,data	0	0	direct	none	9110	28.5870
3	1788562116668015361	0x7f7af08c93b0	1	0dfa7fc3533697c4	f8f9550d75030dd3	1459	1	1	512	-1	1	1	1	structure	0	GET_ROWS	model.input_embed	shape,data	0	0	direct	none	4082	16.7850
4	1788562116685645034	0x7f7af08c93b0	1	0dfa7fc3533697c4	f8f9550d75030dd3	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	0	1	capture	update	3064	18.3685
5	1788562116704844632	0x7f7af08c93b0	1	0dfa7fc3533697c4	f8f9550d75030dd3	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	499	15.8018
6	1788562116721470592	0x7f7af08c93b0	1	0dfa7fc3533697c4	f8f9550d75030dd3	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	481	15.8029
7	1788562116738081033	0x7f7af08c93b0	1	0dfa7fc3533697c4	f8f9550d75030dd3	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	467	9.8363
8	1788562116748705855	0x7f7af08c93b0	1	0dfa7fc3533697c4	f8f9550d75030dd3	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	456	4.6944
9	1788562116754176618	0x7f7af08c93b0	1	0dfa7fc3533697c4	f8f9550d75030dd3	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	459	4.6678
10	1788562116759623236	0x7f7af08c93b0	1	0dfa7fc3533697c4	f8f9550d75030dd3	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	458	4.6832
11	1788562116765087096	0x7f7af08c93b0	1	0dfa7fc3533697c4	f8f9550d75030dd3	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	459	4.1631
12	1788562116770027584	0x7f7af08c93b0	1	0dfa7fc3533697c4	f8f9550d75030dd3	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	459	4.1656
13	1788562116775070685	0x7f7af08c93b0	1	0dfa7fc3533697c4	f8f9550d75030dd3	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	484	4.1720
14	1788562116780061257	0x7f7af08c93b0	1	0dfa7fc3533697c4	f8f9550d75030dd3	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	464	3.9323
15	1788562116784814494	0x7f7af08c93b0	1	0dfa7fc3533697c4	f8f9550d75030dd3	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	460	3.9831
16	1788562116789585284	0x7f7af08c93b0	1	0dfa7fc3533697c4	f8f9550d75030dd3	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	459	3.9658
17	1788562116794373917	0x7f7af08c93b0	1	0dfa7fc3533697c4	f8f9550d75030dd3	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	462	3.9560
18	1788562116799129489	0x7f7af08c93b0	1	0dfa7fc3533697c4	f8f9550d75030dd3	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	461	3.8570
19	1788562116803774022	0x7f7af08c93b0	1	0dfa7fc3533697c4	f8f9550d75030dd3	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	457	3.8608
20	1788562116808419717	0x7f7af08c93b0	1	0dfa7fc3533697c4	f8f9550d75030dd3	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	457	3.8324
21	1788562116813035065	0x7f7af08c93b0	1	0dfa7fc3533697c4	f8f9550d75030dd3	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	459	3.8663
22	1788562116817685098	0x7f7af08c93b0	1	0dfa7fc3533697c4	f8f9550d75030dd3	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	456	3.8417
23	1788562116822314042	0x7f7af08c93b0	1	0dfa7fc3533697c4	f8f9550d75030dd3	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	458	3.7782
24	1788562116826877383	0x7f7af08c93b0	1	0dfa7fc3533697c4	f8f9550d75030dd3	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	460	3.7936
25	1788562116831449170	0x7f7af08c93b0	1	0dfa7fc3533697c4	f8f9550d75030dd3	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	477	3.8223
26	1788562116836071932	0x7f7af08c93b0	1	0dfa7fc3533697c4	f8f9550d75030dd3	1459	1	1	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	462	3.7663
27	1788562116841201264	0x7f7af08c93b0	1	94dc22ce3d23b91b	7c4559878961a07b	1459	2	1	512	-1	1	1	1	structure	0	GET_ROWS	model.input_embed	shape,data	1	0	direct	none	2614	4.7512
28	1788562116846512799	0x7f7af08c93b0	1	d8f873be867a8271	ddb557abc1c1694b	1459	251	0	256	-1	1	1	1	structure	0	GET_ROWS	model.input_embed	shape,data	0	0	direct	none	3051	17.1032
