utc	clocks_sm_mhz	clocks_mem_mhz	temperature_c	power_draw_w	utilization_gpu_percent	utilization_memory_percent	memory_used_mib	memory_total_mib	throttle_reasons_active	bar1_total_mib	bar1_used_mib	bar1_free_mib	mem_available_kib	mlocked_kib	unevictable_kib	page_tables_kib	sunreclaim_kib	load_average_1m
2026-09-05T03:42:40Z	2850	10501	44	67.01	3	3	1402	12282	0x0000000000000000	16384	1417	14967	19837992	828	173600	190064	1690160	10.34
2026-09-05T03:42:41Z	780	5001	42	44.78	22	14	2922	12282	0x0000000000000001	16384	2937	13447	19612240	828	173600	191324	1693116	10.34
2026-09-05T03:42:42Z	585	5001	44	30.48	7	6	4449	12282	0x0000000000000001	16384	4464	11920	19201728	828	173600	192040	1695148	10.34
2026-09-05T03:42:43Z	2835	10251	52	82.10	90	78	4455	12282	0x0000000000000000	16384	4470	11914	19022324	828	173600	192720	1696396	10.48
2026-09-05T03:42:44Z	2850	10251	52	113.90	53	44	4467	12282	0x0000000000000000	16384	4482	11902	19139068	828	173600	192804	1697804	10.48
2026-09-05T03:42:45Z	2850	10251	51	125.28	3	3	4467	12282	0x0000000000000000	16384	4482	11902	19229000	828	173600	193008	1699252	10.48
2026-09-05T03:42:46Z	2850	10251	48	125.19	3	3	4467	12282	0x0000000000000000	16384	4482	11902	19140720	828	173600	192604	1700384	10.48
2026-09-05T03:42:47Z	2850	10251	44	125.41	9	6	4467	12282	0x0000000000000000	16384	4482	11902	18995832	828	173600	192540	1701516	10.48
2026-09-05T03:42:48Z	2835	10251	44	115.38	87	75	4467	12282	0x0000000000000000	16384	4482	11902	19150928	828	173600	192996	1702100	10.68
2026-09-05T03:42:49Z	2835	10251	45	115.30	91	78	4467	12282	0x0000000000000000	16384	4482	11902	19130732	828	173600	192856	1703092	10.68
2026-09-05T03:42:50Z	2835	10251	47	109.46	92	80	4467	12282	0x0000000000000000	16384	4482	11902	19027548	828	173600	193544	1704476	10.68
2026-09-05T03:42:51Z	2835	10251	53	114.80	92	79	4467	12282	0x0000000000000000	16384	4482	11902	19110128	828	173600	193312	1708304	10.68
2026-09-05T03:42:52Z	2835	10251	53	116.27	92	80	4467	12282	0x0000000000000000	16384	4482	11902	18927800	828	173600	193492	1709152	10.68
2026-09-05T03:42:53Z	2850	10251	52	115.77	88	76	4467	12282	0x0000000000000000	16384	4482	11902	18937764	828	173600	192912	1710592	10.38
2026-09-05T03:42:54Z	2850	10501	44	126.92	3	3	1419	12282	0x0000000000000000	16384	1435	14949	19615696	828	173600	190948	1710296	10.38
2026-09-05T03:42:55Z	2850	10251	44	56.87	50	5	3033	12282	0x0000000000000000	16384	3222	13162	19383288	828	173600	191940	1712612	10.38
2026-09-05T03:42:56Z	1800	5001	45	45.23	15	14	4617	12282	0x0000000000000001	16384	4632	11752	19078008	828	173600	193740	1714884	10.38
2026-09-05T03:42:57Z	2835	10251	53	76.46	81	67	4623	12282	0x0000000000000000	16384	4638	11746	18653768	828	173600	192984	1716352	10.27
2026-09-05T03:42:58Z	2850	10251	52	162.48	3	3	4635	12282	0x0000000000000000	16384	4650	11734	18509384	828	173600	193088	1716708	10.27
2026-09-05T03:42:59Z	2835	10251	44	140.47	83	68	4635	12282	0x0000000000000000	16384	4650	11734	18163676	828	173600	194756	1718076	10.27
2026-09-05T03:43:01Z	2835	10251	47	115.63	84	69	4635	12282	0x0000000000000000	16384	4650	11734	17249108	828	173600	196736	1719248	10.27
2026-09-05T03:43:02Z	2835	10251	53	114.13	85	68	4635	12282	0x0000000000000000	16384	4650	11734	16435828	828	173600	198540	1720668	10.27
2026-09-05T03:43:03Z	2850	10251	52	121.98	6	3	4637	12282	0x0000000000000000	16384	4652	11732	15304436	828	173600	201176	1721700	10.49
2026-09-05T03:43:04Z	2835	10251	45	165.40	20	12	4637	12282	0x0000000000000000	16384	4652	11732	14753232	828	173600	202032	1722968	10.49
2026-09-05T03:43:05Z	2835	10251	54	116.91	79	65	4637	12282	0x0000000000000000	16384	4652	11732	14152716	828	173600	202944	1723604	10.49
2026-09-05T03:43:06Z	2850	10251	53	112.45	47	32	4637	12282	0x0000000000000000	16384	4652	11732	14069988	828	173600	203948	1723604	10.49
2026-09-05T03:43:07Z	2850	10251	44	155.97	3	3	4637	12282	0x0000000000000000	16384	4652	11732	18586084	828	173600	193820	1723608	10.49
2026-09-05T03:43:08Z	2835	10251	45	125.64	78	64	4637	12282	0x0000000000000000	16384	4652	11732	18625524	828	173600	194624	1723676	10.61
2026-09-05T03:43:09Z	2835	10251	54	111.82	79	65	4639	12282	0x0000000000000000	16384	4654	11730	18513620	828	173600	194092	1723616	10.61
2026-09-05T03:43:10Z	2850	10251	54	150.83	3	3	4639	12282	0x0000000000000000	16384	4654	11730	18787568	828	173600	193964	1723624	10.61
2026-09-05T03:43:11Z	2850	10501	45	141.07	3	3	1404	12282	0x0000000000000000	16384	1419	14965	19906376	828	173600	190008	1721464	10.61
