capture	node.sqlite
device_rows_graph_trace	0
device_rows_kernel	46027
device_rows_memcpy	970
device_rows_memset	2
api_rows	16075
anchor	cudaGraphLaunch
tokens_partitioned	60
median_span_ns	6952644.5
median_span_ns_pct_of_span	100.0
median_device_busy_ns	6171037.0
median_device_busy_ns_pct_of_span	88.8
median_device_idle_ns	722020.5
median_device_idle_ns_pct_of_span	10.4
median_idle_between_device_rows_ns	186403.5
median_idle_between_device_rows_ns_pct_of_span	2.7
median_idle_outside_device_work_ns	522596.0
median_idle_outside_device_work_ns_pct_of_span	7.5
median_api_host_ns	6915254.5
median_api_host_ns_pct_of_span	99.5
median_sync_host_ns	6360838.5
median_sync_host_ns_pct_of_span	91.5
median_host_uncovered_ns	36277.0
median_host_uncovered_ns_pct_of_span	0.5
min_span_ns	3461921
max_span_ns	11058825
min_device_busy_ns	2831436
max_device_busy_ns	10257839
min_device_idle_ns	626837
max_device_idle_ns	1371908
min_idle_between_device_rows_ns	116354
max_idle_between_device_rows_ns	854246
min_idle_outside_device_work_ns	510483
max_idle_outside_device_work_ns	721852
min_api_host_ns	3427876
max_api_host_ns	11008988
min_sync_host_ns	2895777
max_sync_host_ns	10434781
min_host_uncovered_ns	32642
max_host_uncovered_ns	63660
api_call	cudaGetDeviceProperties_v12000	7440
api_call	cuKernelGetName	2900
api_call	cudaLaunchKernel_v7000	2900
api_call	cudaStreamSynchronize_v3020	1756
api_call	cudaMemcpyAsync_v3020	970
api_call	cudaGraphLaunch_v10000	63
api_call	cudaMemGetInfo_v3020	4
api_call	cudaMalloc_v3020	4
api_call	cudaFree_v3020	4
api_call	cuLibraryGetKernel	3
api_call	cuLibraryLoadData	2
api_call	cudaMallocHost_v3020	2
api_call	cudaMemsetAsync_v3020	2
api_call	cudaStreamBeginCapture_v10000	2
api_call	cudaStreamEndCapture_v10000	2
api_call	cudaGraphInstantiate_v12000	2
api_call	cudaGraphExecUpdate_v10020	2
api_call	cudaGraphDestroy_v10000	2
api_call	cudaGraphExecDestroy_v10000	2
api_call	cudaFreeHost_v3020	2
