utc	fb_used_mib	bar1_used_mib
2026-08-30T05:17:14Z	1443	1458
2026-08-30T05:17:14Z	1455	1492
2026-08-30T05:17:14Z	1656	1671
2026-08-30T05:17:14Z	1656	1671
2026-08-30T05:17:15Z	1656	1671
2026-08-30T05:17:15Z	2902	2917
2026-08-30T05:17:15Z	2902	2917
2026-08-30T05:17:15Z	2902	2917
2026-08-30T05:17:16Z	1437	1452
2026-08-30T05:17:16Z	1478	1503
2026-08-30T05:17:16Z	1662	1885
2026-08-30T05:17:16Z	1686	1675
2026-08-30T05:17:17Z	1454	1472
2026-08-30T05:17:17Z	1662	1677
2026-08-30T05:17:17Z	2418	2533
2026-08-30T05:17:17Z	2538	2553
2026-08-30T05:17:18Z	1438	1452
2026-08-30T05:17:18Z	1478	1677
2026-08-30T05:17:18Z	1662	1677
2026-08-30T05:17:18Z	1662	1677
2026-08-30T05:17:19Z	1662	1677
2026-08-30T05:17:19Z	2484	2717
2026-08-30T05:17:19Z	3420	3435
2026-08-30T05:17:19Z	3420	3435
2026-08-30T05:17:20Z	3420	3435
2026-08-30T05:17:20Z	3420	3435
2026-08-30T05:17:20Z	3420	3435
2026-08-30T05:17:20Z	3420	3473
2026-08-30T05:17:21Z	1663	1677
2026-08-30T05:17:21Z	1443	1460
2026-08-30T05:17:21Z	1656	1671
2026-08-30T05:17:21Z	1656	1671
2026-08-30T05:17:21Z	1656	1671
2026-08-30T05:17:22Z	3078	3097
2026-08-30T05:17:22Z	1663	1677
2026-08-30T05:17:22Z	1463	1492
2026-08-30T05:17:22Z	1662	1677
2026-08-30T05:17:23Z	1662	1677
2026-08-30T05:17:23Z	1662	1677
2026-08-30T05:17:23Z	1662	1677
2026-08-30T05:17:23Z	1662	1677
2026-08-30T05:17:24Z	2758	2773
2026-08-30T05:17:24Z	1688	1703
2026-08-30T05:17:24Z	1438	1457
2026-08-30T05:17:24Z	1662	1677
2026-08-30T05:17:25Z	1662	1677
2026-08-30T05:17:25Z	1662	1677
2026-08-30T05:17:25Z	2442	2457
2026-08-30T05:17:25Z	3254	3269
2026-08-30T05:17:26Z	1663	1677
2026-08-30T05:17:26Z	1454	1478
2026-08-30T05:17:26Z	1662	1677
2026-08-30T05:17:26Z	1662	1677
2026-08-30T05:17:27Z	2738	2753
2026-08-30T05:17:27Z	1438	1452
2026-08-30T05:17:27Z	1478	1503
2026-08-30T05:17:27Z	1662	1677
2026-08-30T05:17:28Z	1662	1677
2026-08-30T05:17:28Z	1662	1677
2026-08-30T05:17:28Z	1662	1677
2026-08-30T05:17:28Z	1662	1677
2026-08-30T05:17:29Z	1662	1677
2026-08-30T05:17:29Z	1662	1677
2026-08-30T05:17:29Z	2864	2879
2026-08-30T05:17:29Z	3448	3463
2026-08-30T05:17:30Z	1438	1452
2026-08-30T05:17:30Z	1488	1677
2026-08-30T05:17:30Z	1662	1677
2026-08-30T05:17:30Z	1662	1677
2026-08-30T05:17:31Z	1662	1677
2026-08-30T05:17:31Z	1662	1677
2026-08-30T05:17:31Z	1662	1677
2026-08-30T05:17:31Z	1662	1677
2026-08-30T05:17:32Z	1662	1677
2026-08-30T05:17:32Z	2868	2883
2026-08-30T05:17:32Z	2868	2883
2026-08-30T05:17:32Z	3452	3467
2026-08-30T05:17:33Z	1663	1452
2026-08-30T05:17:33Z	1442	1460
2026-08-30T05:17:33Z	1662	1677
2026-08-30T05:17:33Z	1662	1677
2026-08-30T05:17:34Z	1662	1677
2026-08-30T05:17:34Z	1662	1677
2026-08-30T05:17:34Z	1662	1677
2026-08-30T05:17:34Z	1662	1677
2026-08-30T05:17:35Z	1662	1677
2026-08-30T05:17:35Z	1662	2879
2026-08-30T05:17:35Z	3190	3427
2026-08-30T05:17:35Z	1682	1677
2026-08-30T05:17:36Z	1444	1469
2026-08-30T05:17:36Z	1662	1677
2026-08-30T05:17:36Z	1662	1677
2026-08-30T05:17:36Z	1662	1677
2026-08-30T05:17:36Z	1662	1677
2026-08-30T05:17:37Z	1662	1677
2026-08-30T05:17:37Z	1662	1677
2026-08-30T05:17:37Z	1662	1677
2026-08-30T05:17:37Z	2898	2913
2026-08-30T05:17:38Z	3472	3509
2026-08-30T05:17:38Z	3722	3737
2026-08-30T05:17:38Z	1682	1697
2026-08-30T05:17:38Z	1682	1697
2026-08-30T05:17:39Z	1438	1452
2026-08-30T05:17:39Z	1463	1492
2026-08-30T05:17:39Z	1662	1677
2026-08-30T05:17:39Z	1662	1677
2026-08-30T05:17:40Z	1662	1677
2026-08-30T05:17:40Z	1662	1677
2026-08-30T05:17:40Z	1662	1677
2026-08-30T05:17:40Z	1662	1677
2026-08-30T05:17:41Z	2868	2883
2026-08-30T05:17:41Z	3452	3467
