repeat	arm	artifact	image_mode	status	constraints	passed	failed	uncertain	regenerate	reading	wall_seconds	exit_status
1	01-correct	5a202c8aba97cb7f97b49ce30a1e5a9ce071d11cbaa057c98b1d3bd4180db6b1	real	ok	3	3	0	0	no	grounded_pass	1.02	0
1	02-violating	e3c5a55ce72132240d7bdb3920c09caa210777a824e2fd7c7ad37eca07a11c5c	real	ok	3	0	1	2	yes	discriminated	1.04	0
1	03-withheld	5a202c8aba97cb7f97b49ce30a1e5a9ce071d11cbaa057c98b1d3bd4180db6b1	withheld	ok	3	2	1	0	no	withheld_declined	0.85	0
1	04-swapped	5a202c8aba97cb7f97b49ce30a1e5a9ce071d11cbaa057c98b1d3bd4180db6b1	swapped	ok	3	0	1	2	yes	follows_pixels	1.04	0
1	05-absent	20996457bc78cee0690a577e0242631a30384c38320c6012584ac10ab9fd45dc	real	refused:artifact_http_error	3	-	-	-	-	refused_as_expected	0.00	1
1	06-correct-closing	5a202c8aba97cb7f97b49ce30a1e5a9ce071d11cbaa057c98b1d3bd4180db6b1	real	ok	3	3	0	0	no	grounded_pass	0.88	0
2	01-correct	5a202c8aba97cb7f97b49ce30a1e5a9ce071d11cbaa057c98b1d3bd4180db6b1	real	ok	3	3	0	0	no	grounded_pass	0.88	0
2	02-violating	e3c5a55ce72132240d7bdb3920c09caa210777a824e2fd7c7ad37eca07a11c5c	real	ok	3	0	1	2	yes	discriminated	1.04	0
2	03-withheld	5a202c8aba97cb7f97b49ce30a1e5a9ce071d11cbaa057c98b1d3bd4180db6b1	withheld	ok	3	2	1	0	no	withheld_declined	0.85	0
2	04-swapped	5a202c8aba97cb7f97b49ce30a1e5a9ce071d11cbaa057c98b1d3bd4180db6b1	swapped	ok	3	0	1	2	yes	follows_pixels	1.04	0
2	05-absent	20996457bc78cee0690a577e0242631a30384c38320c6012584ac10ab9fd45dc	real	refused:artifact_http_error	3	-	-	-	-	refused_as_expected	0.00	1
2	06-correct-closing	5a202c8aba97cb7f97b49ce30a1e5a9ce071d11cbaa057c98b1d3bd4180db6b1	real	ok	3	3	0	0	no	grounded_pass	0.89	0
3	01-correct	5a202c8aba97cb7f97b49ce30a1e5a9ce071d11cbaa057c98b1d3bd4180db6b1	real	ok	3	3	0	0	no	grounded_pass	0.89	0
3	02-violating	e3c5a55ce72132240d7bdb3920c09caa210777a824e2fd7c7ad37eca07a11c5c	real	ok	3	0	1	2	yes	discriminated	1.04	0
3	03-withheld	5a202c8aba97cb7f97b49ce30a1e5a9ce071d11cbaa057c98b1d3bd4180db6b1	withheld	ok	3	2	1	0	no	withheld_declined	0.85	0
3	04-swapped	5a202c8aba97cb7f97b49ce30a1e5a9ce071d11cbaa057c98b1d3bd4180db6b1	swapped	ok	3	0	1	2	yes	follows_pixels	1.05	0
3	05-absent	20996457bc78cee0690a577e0242631a30384c38320c6012584ac10ab9fd45dc	real	refused:artifact_http_error	3	-	-	-	-	refused_as_expected	0.00	1
3	06-correct-closing	5a202c8aba97cb7f97b49ce30a1e5a9ce071d11cbaa057c98b1d3bd4180db6b1	real	ok	3	3	0	0	no	grounded_pass	0.89	0
vision_review_calibration=complete repeats=3 grounded_pass=3/3 closing_pass=3/3 discriminated=3/3 ungrounded_pass=0/3 follows_text=0/3 refused_reads=3/3 malformed_replies=0 transport_failures=0 output=OUT/qwen35-2b/calibration
