utc	clocks_sm_mhz	clocks_mem_mhz	temperature_c	power_draw_w	utilization_gpu_percent	utilization_memory_percent	memory_used_mib	memory_total_mib	throttle_reasons_active	bar1_total_mib	bar1_used_mib	bar1_free_mib	mem_available_kib	mlocked_kib	unevictable_kib	page_tables_kib	sunreclaim_kib	load_average_1m
2026-09-05T18:40:11Z	210	810	42	22.92	7	32	1839	12282	0x0000000000000001	16384	1858	14526	21449636	828	173600	217508	1815260	3.53
2026-09-05T18:40:12Z	210	810	42	23.04	7	33	2039	12282	0x0000000000000001	16384	2057	14327	20983192	828	173600	217560	1815980	3.53
2026-09-05T18:40:13Z	210	810	42	23.03	7	33	2039	12282	0x0000000000000001	16384	2057	14327	20927064	828	173600	219244	1815980	3.53
2026-09-05T18:40:14Z	210	810	42	23.04	7	32	3875	12282	0x0000000000000001	16384	4531	11853	20820140	828	173600	218040	1816496	3.41
2026-09-05T18:40:15Z	2625	10251	43	34.92	19	9	4759	12282	0x0000000000000001	16384	4777	11607	20669784	828	173600	218504	1816512	3.41
2026-09-05T18:40:16Z	2850	10251	54	59.85	81	74	4783	12282	0x0000000000000001	16384	4801	11583	20402988	828	173600	220280	1816512	3.41
2026-09-05T18:40:17Z	2835	10251	55	186.13	93	85	4783	12282	0x0000000000000000	16384	4801	11583	20359996	828	173600	220228	1816512	3.41
2026-09-05T18:40:18Z	2835	10251	55	185.90	94	86	4783	12282	0x0000000000000000	16384	4801	11583	20350720	828	173600	220288	1816516	3.22
2026-09-05T18:40:19Z	2835	10251	55	187.52	93	85	4789	12282	0x0000000000000000	16384	4807	11577	20434332	828	173600	212456	1816580	3.22
2026-09-05T18:40:20Z	2835	10251	55	176.04	94	86	4789	12282	0x0000000000000000	16384	4807	11577	20471432	828	173600	214564	1816512	3.22
2026-09-05T18:40:21Z	2835	10251	56	183.99	93	85	4789	12282	0x0000000000000000	16384	4807	11577	20467092	828	173600	210132	1816520	3.22
2026-09-05T18:40:22Z	2835	10251	56	187.43	93	86	4789	12282	0x0000000000000000	16384	4807	11577	20591992	828	173600	209704	1816520	3.22
2026-09-05T18:40:23Z	2835	10251	56	187.38	92	84	4789	12282	0x0000000000000000	16384	4807	11577	20604012	828	173600	210992	1816584	3.12
2026-09-05T18:40:24Z	2835	10251	56	187.41	94	86	4789	12282	0x0000000000000000	16384	4807	11577	20622524	828	173600	209228	1816520	3.12
2026-09-05T18:40:26Z	2835	10251	56	177.35	93	86	4789	12282	0x0000000000000000	16384	4807	11577	20638300	828	173600	209384	1816520	3.12
2026-09-05T18:40:27Z	2835	10251	56	187.00	94	86	4789	12282	0x0000000000000000	16384	4807	11577	20647208	828	173600	209696	1816520	3.12
2026-09-05T18:40:28Z	2835	10251	57	187.79	94	86	4789	12282	0x0000000000000000	16384	4807	11577	20623040	828	173600	209508	1816520	3.12
2026-09-05T18:40:29Z	2835	10251	52	187.72	93	86	4789	12282	0x0000000000000000	16384	4807	11577	20632196	828	173600	208948	1816520	3.03
2026-09-05T18:40:30Z	2835	10251	57	187.76	93	86	4789	12282	0x0000000000000000	16384	4807	11577	20662404	828	173600	210404	1816520	3.03
2026-09-05T18:40:31Z	2835	10251	57	176.85	93	86	4789	12282	0x0000000000000000	16384	4807	11577	20675828	828	173600	211416	1816520	3.03
2026-09-05T18:40:32Z	2835	10501	47	78.44	0	3	1839	12282	0x0000000000000000	16384	1858	14526	21526108	828	173600	205944	1815212	3.03
2026-09-05T18:40:33Z	735	10501	46	52.81	0	3	1839	12282	0x0000000000000001	16384	1858	14526	21511468	828	173600	205812	1815196	3.03
2026-09-05T18:40:34Z	465	5001	45	31.26	1	5	1839	12282	0x0000000000000001	16384	1858	14526	21485760	828	173600	205744	1815196	2.95
2026-09-05T18:40:35Z	300	5001	44	29.00	1	5	1839	12282	0x0000000000000001	16384	1858	14526	21509108	828	173600	205600	1815196	2.95
2026-09-05T18:40:36Z	210	5001	44	28.89	2	5	1839	12282	0x0000000000000001	16384	1858	14526	21518308	828	173600	205716	1815196	2.95
