field	value
local_gate_exit	0
local_gate_log_sha256	cf05cc36ba788f607c17b58379158a5a006626b09a3bf3037578f42dd0d2565f
local_gate_terminal	repository_quality_gates=accepted
local_gate_manifest	current entries=9909
published_head	4620d884c650f1a6f6ec7e8a6006b318ded23992
merge_commit	e92833143fe35b12f7451d6a77b07f67024f79b4
pull_request	https://github.com/Oichkatzelesfrettschen/qwen-nvidia/pull/64
hosted_ci	https://github.com/Oichkatzelesfrettschen/qwen-nvidia/actions/runs/34159509505
hosted_ci_conclusion	SUCCESS
published_head_tree_equals_merge_tree	yes
repository_visibility	PUBLIC
runtime_execution	not_run
preparation_readiness	not_ready; requirements in README.md
