monotonic_s	event	outcome
567718	holder.1.release	terminated
567718	holder.1.launcher	terminated
567731	holder.2.release	terminated
567731	holder.2.launcher	terminated
567731	client.release	terminated
567731	client.launcher	terminated
567761	client.release	terminated
567761	client.launcher	terminated
567761	holder.3.release	terminated
567761	holder.3.launcher	terminated
567768	holder.4.release	terminated
567768	holder.4.launcher	terminated
567770	server.3.stop	terminated
567771	holder.5.release	terminated
567771	holder.5.launcher	terminated
567781	holder.6.release	terminated
567781	holder.6.launcher	terminated
567789	server.5.stop	terminated
