physics_runtime_sha256	d9f79dee23f8a06dd654aa0e2daf4403c737876858b07c5b211faefe7e78b405
ordinary_user_uid	1000
ordinary_user	accepted	yes
in_tree_execution_policy	refused
subject_execution_policy	validator-gated
steps_requested	3600
profile_max_steps	3600
device_name_nvidia_smi	NVIDIA GeForce RTX 4070 Ti
socket_path	/run/user/1000/qwen-physics-admit.1112394.sock
service_pid_uid	1000
service_announced_runtime	accepted	d9f79dee23f8a06dd654aa0e2daf4403c737876858b07c5b211faefe7e78b405
request_wall_s	1.705
reply_status	accepted	completed
cuda_context_valid	accepted	true
gpu_dynamics_requested	accepted	true
gpu_broadphase_requested	accepted	true
gpu_dynamics_active	accepted	true
device_name_matches_nvidia_smi	accepted	yes
device_name_runtime	NVIDIA GeForce RTX 4070 Ti
steps_simulated	accepted	3600
body_count	accepted	4
joint_count	accepted	4
joints_unbroken	accepted	yes
bodies_finite	accepted	yes
bodies_above_ground	accepted	yes
bodies_below_anchor	accepted	yes
chain_intact	accepted	yes
link_spans	1.198,1.199,1.191
simulate_ms	1329.38
runtime_wall_ms	1607.09
reply_runtime_sha256	accepted	d9f79dee23f8a06dd654aa0e2daf4403c737876858b07c5b211faefe7e78b405
sampler_ticks	15
runtime_client_ticks	13
lease_held_ticks	14
runtime_cuda_client_observed	accepted	yes
lease_held_observed	accepted	yes
lease_status_released	accepted	released
lease_free_after	accepted	yes
service_exit_clean	accepted	0
socket_removed	accepted	absent
teardown	accepted	clean
cuda_clients_clean_after	accepted	0
runtime_absent_after	accepted	0
admit_physics_runtime=accepted checks=26 rejected=0
